prec_id,Michael W. Holleman,Shirley Blackburn Randleman,election
surry_15,304,730,nc_state_senate_district_30
surry_12,456,737,nc_state_senate_district_30
surry_17,170,524,nc_state_senate_district_30
surry_24,117,421,nc_state_senate_district_30
surry_28,199,619,nc_state_senate_district_30
surry_25,315,820,nc_state_senate_district_30
surry_ABSENTEE,373,1066,nc_state_senate_district_30
surry_4,401,871,nc_state_senate_district_30
surry_7,263,431,nc_state_senate_district_30
surry_27,220,732,nc_state_senate_district_30
surry_14,340,720,nc_state_senate_district_30
surry_16,186,661,nc_state_senate_district_30
surry_19,395,976,nc_state_senate_district_30
surry_20,219,422,nc_state_senate_district_30
surry_1,282,926,nc_state_senate_district_30
surry_2,164,214,nc_state_senate_district_30
surry_5,250,1266,nc_state_senate_district_30
surry_8,262,841,nc_state_senate_district_30
surry_22,184,573,nc_state_senate_district_30
surry_11,231,548,nc_state_senate_district_30
surry_33,268,556,nc_state_senate_district_30
surry_13,328,486,nc_state_senate_district_30
surry_18,288,990,nc_state_senate_district_30
surry_21,338,989,nc_state_senate_district_30
surry_CURBSIDE,153,264,nc_state_senate_district_30
surry_10,126,584,nc_state_senate_district_30
surry_3,421,1004,nc_state_senate_district_30
surry_9,215,599,nc_state_senate_district_30
surry_6,355,497,nc_state_senate_district_30
surry_26,376,1195,nc_state_senate_district_30
surry_23,230,642,nc_state_senate_district_30
stokes_18,98,70,nc_state_senate_district_30
stokes_OS DANBURY,697,1385,nc_state_senate_district_30
stokes_ABSENTEE,169,533,nc_state_senate_district_30
stokes_4,102,376,nc_state_senate_district_30
stokes_7,74,188,nc_state_senate_district_30
stokes_15,119,348,nc_state_senate_district_30
stokes_12,156,496,nc_state_senate_district_30
stokes_OS WALNUT COVE,1031,1820,nc_state_senate_district_30
stokes_1,64,196,nc_state_senate_district_30
stokes_20,169,435,nc_state_senate_district_30
stokes_14,158,489,nc_state_senate_district_30
stokes_16,161,226,nc_state_senate_district_30
stokes_19,109,252,nc_state_senate_district_30
stokes_11,166,526,nc_state_senate_district_30
stokes_8,106,406,nc_state_senate_district_30
stokes_OS KING,1512,4438,nc_state_senate_district_30
stokes_17,112,239,nc_state_senate_district_30
stokes_13,119,435,nc_state_senate_district_30
stokes_5,108,244,nc_state_senate_district_30
stokes_2,214,568,nc_state_senate_district_30
stokes_10,136,496,nc_state_senate_district_30
stokes_9,216,491,nc_state_senate_district_30
stokes_6,67,249,nc_state_senate_district_30
stokes_3,91,447,nc_state_senate_district_30
wilkes_121,130,493,nc_state_senate_district_30
wilkes_OS MULBERRY,191,820,nc_state_senate_district_30
wilkes_107,168,681,nc_state_senate_district_30
wilkes_110,27,113,nc_state_senate_district_30
wilkes_OS PLEASANT HILL,283,1230,nc_state_senate_district_30
wilkes_109,86,257,nc_state_senate_district_30
wilkes_117,143,456,nc_state_senate_district_30
wilkes_105,77,328,nc_state_senate_district_30
wilkes_104,128,391,nc_state_senate_district_30
wilkes_128,202,684,nc_state_senate_district_30
wilkes_113,182,379,nc_state_senate_district_30
wilkes_123,78,341,nc_state_senate_district_30
wilkes_111,116,357,nc_state_senate_district_30
wilkes_108,154,270,nc_state_senate_district_30
wilkes_102,143,408,nc_state_senate_district_30
wilkes_115A,209,741,nc_state_senate_district_30
wilkes_OS MILLER CRK,381,1211,nc_state_senate_district_30
wilkes_119,204,662,nc_state_senate_district_30
wilkes_103,46,192,nc_state_senate_district_30
wilkes_101,96,218,nc_state_senate_district_30
wilkes_122,54,389,nc_state_senate_district_30
wilkes_127,188,282,nc_state_senate_district_30
wilkes_125,76,214,nc_state_senate_district_30
wilkes_114,54,205,nc_state_senate_district_30
wilkes_126,56,236,nc_state_senate_district_30
wilkes_124,115,419,nc_state_senate_district_30
wilkes_ABSENTEE,289,721,nc_state_senate_district_30
wilkes_OS OFFICE,3210,6809,nc_state_senate_district_30
wilkes_129,134,416,nc_state_senate_district_30
wilkes_106,95,314,nc_state_senate_district_30
wilkes_112,149,596,nc_state_senate_district_30
wilkes_120,124,392,nc_state_senate_district_30
wilkes_118,240,283,nc_state_senate_district_30
wilkes_OS MTN VIEW,124,504,nc_state_senate_district_30
