prec_id,Joel Ford,Richard Rivette,election
mecklenburg_223.1,1697,362,nc_state_senate_district_38
mecklenburg_135,3648,573,nc_state_senate_district_38
mecklenburg_CURBSIDE 21-40,474,16,nc_state_senate_district_38
mecklenburg_31,1377,73,nc_state_senate_district_38
mecklenburg_147,1735,391,nc_state_senate_district_38
mecklenburg_89,2715,1157,nc_state_senate_district_38
mecklenburg_39,1332,80,nc_state_senate_district_38
mecklenburg_41,1382,139,nc_state_senate_district_38
mecklenburg_128,1249,703,nc_state_senate_district_38
mecklenburg_239,1549,637,nc_state_senate_district_38
mecklenburg_CURBSIDE 41-60,526,72,nc_state_senate_district_38
mecklenburg_80,1427,450,nc_state_senate_district_38
mecklenburg_53,1786,151,nc_state_senate_district_38
mecklenburg_222,3468,896,nc_state_senate_district_38
mecklenburg_212,3886,892,nc_state_senate_district_38
mecklenburg_214,1695,645,nc_state_senate_district_38
mecklenburg_22,2567,1548,nc_state_senate_district_38
mecklenburg_12,1403,124,nc_state_senate_district_38
mecklenburg_25,1300,37,nc_state_senate_district_38
mecklenburg_224,978,679,nc_state_senate_district_38
mecklenburg_141,2172,781,nc_state_senate_district_38
mecklenburg_CURBSIDE 61-80,20,12,nc_state_senate_district_38
mecklenburg_78.1,900,295,nc_state_senate_district_38
mecklenburg_CURBSIDE 1-20,995,82,nc_state_senate_district_38
mecklenburg_213,2584,335,nc_state_senate_district_38
mecklenburg_211,3831,1041,nc_state_senate_district_38
mecklenburg_210,3428,385,nc_state_senate_district_38
mecklenburg_150,1454,745,nc_state_senate_district_38
mecklenburg_81,2154,405,nc_state_senate_district_38
mecklenburg_40,1320,156,nc_state_senate_district_38
mecklenburg_23,995,179,nc_state_senate_district_38
mecklenburg_CURBSIDE 81-96,19,5,nc_state_senate_district_38
mecklenburg_238.1,1165,622,nc_state_senate_district_38
mecklenburg_52,1433,69,nc_state_senate_district_38
mecklenburg_16,1864,61,nc_state_senate_district_38
mecklenburg_151,1846,605,nc_state_senate_district_38
mecklenburg_200,588,600,nc_state_senate_district_38
mecklenburg_24,1436,256,nc_state_senate_district_38
mecklenburg_79,839,360,nc_state_senate_district_38
