prec_id,"H.M. (Mickey) Michaux, Jr.",election
durham_37,52,nc_house_of_representatives_district_031
durham_21,306,nc_house_of_representatives_district_031
durham_30-1,262,nc_house_of_representatives_district_031
durham_22,729,nc_house_of_representatives_district_031
durham_2,334,nc_house_of_representatives_district_031
durham_OS-FRONT,183,nc_house_of_representatives_district_031
durham_29,413,nc_house_of_representatives_district_031
durham_OS-ERL,7097,nc_house_of_representatives_district_031
durham_OS-NRL,5037,nc_house_of_representatives_district_031
durham_14,68,nc_house_of_representatives_district_031
durham_19,521,nc_house_of_representatives_district_031
durham_OS-BOE,6855,nc_house_of_representatives_district_031
durham_OS-DTC,498,nc_house_of_representatives_district_031
durham_ABSENTEE,761,nc_house_of_representatives_district_031
durham_1,202,nc_house_of_representatives_district_031
durham_20,263,nc_house_of_representatives_district_031
durham_34-2,152,nc_house_of_representatives_district_031
durham_OS-NJBC,1917,nc_house_of_representatives_district_031
durham_OS-DTCN,204,nc_house_of_representatives_district_031
durham_46,479,nc_house_of_representatives_district_031
durham_47,27,nc_house_of_representatives_district_031
durham_7,158,nc_house_of_representatives_district_031
durham_OS-IVY,637,nc_house_of_representatives_district_031
durham_OS-ENO,558,nc_house_of_representatives_district_031
durham_45,77,nc_house_of_representatives_district_031
durham_24,322,nc_house_of_representatives_district_031
durham_23,627,nc_house_of_representatives_district_031
durham_OS-DUKE,995,nc_house_of_representatives_district_031
durham_OS-SRL,1979,nc_house_of_representatives_district_031
durham_31,197,nc_house_of_representatives_district_031
durham_18,381,nc_house_of_representatives_district_031
durham_30-2,579,nc_house_of_representatives_district_031
durham_OS-NCCU,511,nc_house_of_representatives_district_031
durham_OS-GETG,480,nc_house_of_representatives_district_031
durham_52,484,nc_house_of_representatives_district_031
