prec_id,Gary Pendleton,Kim Hanchette,election
wake_ONESTOP,4699,6131,nc_house_of_representatives_district_049
wake_13-02,451,425,nc_house_of_representatives_district_049
wake_44015,368,319,nc_house_of_representatives_district_049
wake_43860,340,321,nc_house_of_representatives_district_049
wake_44025,321,366,nc_house_of_representatives_district_049
wake_44021,423,554,nc_house_of_representatives_district_049
wake_44018,751,598,nc_house_of_representatives_district_049
wake_13-11,796,557,nc_house_of_representatives_district_049
wake_43847,264,194,nc_house_of_representatives_district_049
wake_44048,459,383,nc_house_of_representatives_district_049
wake_13-06,352,397,nc_house_of_representatives_district_049
wake_43834,301,318,nc_house_of_representatives_district_049
wake_44019,673,697,nc_house_of_representatives_district_049
wake_13150,551,312,nc_house_of_representatives_district_049
wake_44052,341,357,nc_house_of_representatives_district_049
wake_43841,742,346,nc_house_of_representatives_district_049
wake_44050,699,449,nc_house_of_representatives_district_049
wake_43862,806,527,nc_house_of_representatives_district_049
wake_44023,272,281,nc_house_of_representatives_district_049
wake_44017,323,325,nc_house_of_representatives_district_049
wake_43833,560,469,nc_house_of_representatives_district_049
wake_43859,646,533,nc_house_of_representatives_district_049
wake_43867,759,324,nc_house_of_representatives_district_049
wake_43845,342,331,nc_house_of_representatives_district_049
wake_07-07A,173,166,nc_house_of_representatives_district_049
wake_43866,320,202,nc_house_of_representatives_district_049
wake_15342,669,444,nc_house_of_representatives_district_049
wake_17168,596,425,nc_house_of_representatives_district_049
wake_44014,317,298,nc_house_of_representatives_district_049
wake_44137,738,793,nc_house_of_representatives_district_049
wake_44024,394,558,nc_house_of_representatives_district_049
