prec_id,Allen Ray McNeill,election
moore_RBN,40,nc_house_of_representatives_district_078
moore_WEM,273,nc_house_of_representatives_district_078
moore_DHR,441,nc_house_of_representatives_district_078
moore_ONESTOP,884,nc_house_of_representatives_district_078
moore_CAR,778,nc_house_of_representatives_district_078
randolph_ST,737,nc_house_of_representatives_district_078
randolph_SE,787,nc_house_of_representatives_district_078
randolph_SO,1141,nc_house_of_representatives_district_078
randolph_GR,1242,nc_house_of_representatives_district_078
randolph_PR,1881,nc_house_of_representatives_district_078
randolph_LB,809,nc_house_of_representatives_district_078
randolph_DR,1329,nc_house_of_representatives_district_078
randolph_RM,894,nc_house_of_representatives_district_078
randolph_AS,1571,nc_house_of_representatives_district_078
randolph_UG,2404,nc_house_of_representatives_district_078
randolph_SW,940,nc_house_of_representatives_district_078
randolph_TB,859,nc_house_of_representatives_district_078
