prec_id,Pat B. Hurley,election
randolph_NM,1526,nc_house_of_representatives_district_070
randolph_BC,1141,nc_house_of_representatives_district_070
randolph_TT,1412,nc_house_of_representatives_district_070
randolph_AN,1033,nc_house_of_representatives_district_070
randolph_TR,2427,nc_house_of_representatives_district_070
randolph_AR,2556,nc_house_of_representatives_district_070
randolph_LC,755,nc_house_of_representatives_district_070
randolph_RN,1655,nc_house_of_representatives_district_070
randolph_AE,1222,nc_house_of_representatives_district_070
randolph_AW,1781,nc_house_of_representatives_district_070
