prec_id,Brent Jackson,election
duplin_FAIS,341,nc_state_senate_district_10
duplin_WARS,336,nc_state_senate_district_10
duplin_CHIN,295,nc_state_senate_district_10
duplin_LOCK,141,nc_state_senate_district_10
duplin_CYCK,521,nc_state_senate_district_10
duplin_ROCK,265,nc_state_senate_district_10
duplin_CFRK,287,nc_state_senate_district_10
duplin_SMCA,280,nc_state_senate_district_10
duplin_WALL,735,nc_state_senate_district_10
duplin_GLIS,238,nc_state_senate_district_10
duplin_ROSE,360,nc_state_senate_district_10
duplin_BEUL,616,nc_state_senate_district_10
duplin_CALY,327,nc_state_senate_district_10
duplin_ALBE,476,nc_state_senate_district_10
duplin_WOLF,508,nc_state_senate_district_10
duplin_HALL,232,nc_state_senate_district_10
duplin_CHAR,196,nc_state_senate_district_10
duplin_ABSENTEE,231,nc_state_senate_district_10
duplin_KENA,239,nc_state_senate_district_10
duplin_MAGN,200,nc_state_senate_district_10
johnston_PR04,443,nc_state_senate_district_10
johnston_PR37,967,nc_state_senate_district_10
johnston_PR23A,549,nc_state_senate_district_10
johnston_PR35,256,nc_state_senate_district_10
johnston_PR08,700,nc_state_senate_district_10
johnston_PR22,869,nc_state_senate_district_10
johnston_PR13,615,nc_state_senate_district_10
johnston_PR26,126,nc_state_senate_district_10
johnston_PR38,716,nc_state_senate_district_10
johnston_PR33,31,nc_state_senate_district_10
johnston_PR36,652,nc_state_senate_district_10
johnston_PR07,1034,nc_state_senate_district_10
johnston_PR14,385,nc_state_senate_district_10
johnston_PR31A,421,nc_state_senate_district_10
johnston_PR34,352,nc_state_senate_district_10
johnston_PR12B,671,nc_state_senate_district_10
johnston_PR09,116,nc_state_senate_district_10
johnston_PR27B,238,nc_state_senate_district_10
johnston_PR11A,306,nc_state_senate_district_10
johnston_PR28,294,nc_state_senate_district_10
johnston_PR30,70,nc_state_senate_district_10
johnston_PR12A,499,nc_state_senate_district_10
johnston_PR24,0,nc_state_senate_district_10
johnston_PR31B,551,nc_state_senate_district_10
johnston_PR11B,14,nc_state_senate_district_10
johnston_PR19,196,nc_state_senate_district_10
sampson_CLEM,479,nc_state_senate_district_10
sampson_CLNE,338,nc_state_senate_district_10
sampson_CLEA,285,nc_state_senate_district_10
sampson_ABSENTEE,341,nc_state_senate_district_10
sampson_ROWA,294,nc_state_senate_district_10
sampson_GARL,157,nc_state_senate_district_10
sampson_CLCE,74,nc_state_senate_district_10
sampson_HERR,297,nc_state_senate_district_10
sampson_INGO,193,nc_state_senate_district_10
sampson_GIDD,216,nc_state_senate_district_10
sampson_PLVW,432,nc_state_senate_district_10
sampson_MING,664,nc_state_senate_district_10
sampson_CLWE,310,nc_state_senate_district_10
sampson_KFRK,303,nc_state_senate_district_10
sampson_TURK,268,nc_state_senate_district_10
sampson_AUTR,456,nc_state_senate_district_10
sampson_SBRG,294,nc_state_senate_district_10
sampson_CLSW,233,nc_state_senate_district_10
sampson_NGRV,291,nc_state_senate_district_10
sampson_KEEN,348,nc_state_senate_district_10
sampson_HARR,289,nc_state_senate_district_10
sampson_WBRK,432,nc_state_senate_district_10
sampson_LAKE,269,nc_state_senate_district_10
sampson_ROSE,275,nc_state_senate_district_10
