prec_id,Wesley Meredith,William O. (Billy) Richardson,election
cumberland_G9B-1,626,616,nc_state_senate_district_19
cumberland_G6A,1092,538,nc_state_senate_district_19
cumberland_G3B,146,152,nc_state_senate_district_19
cumberland_G2C-2,423,429,nc_state_senate_district_19
cumberland_MR02,207,313,nc_state_senate_district_19
cumberland_CC03,8,10,nc_state_senate_district_19
cumberland_G5C,197,226,nc_state_senate_district_19
cumberland_EO61-1,626,333,nc_state_senate_district_19
cumberland_G11A-2,24,39,nc_state_senate_district_19
cumberland_G1B,964,722,nc_state_senate_district_19
cumberland_CC14,702,415,nc_state_senate_district_19
cumberland_ONESTOP,286,356,nc_state_senate_district_19
cumberland_CC12,632,336,nc_state_senate_district_19
cumberland_CC33,265,226,nc_state_senate_district_19
cumberland_G7A,372,189,nc_state_senate_district_19
cumberland_SH77,626,477,nc_state_senate_district_19
cumberland_G5A-1,177,195,nc_state_senate_district_19
cumberland_G2E-1,33,63,nc_state_senate_district_19
cumberland_G10C,765,443,nc_state_senate_district_19
cumberland_G10B,430,501,nc_state_senate_district_19
cumberland_CC31,196,197,nc_state_senate_district_19
cumberland_CC34,543,392,nc_state_senate_district_19
cumberland_CC15,659,495,nc_state_senate_district_19
cumberland_G3C,274,210,nc_state_senate_district_19
cumberland_CC18,420,250,nc_state_senate_district_19
cumberland_G8C,214,241,nc_state_senate_district_19
cumberland_CC21,10,14,nc_state_senate_district_19
cumberland_CC27,111,162,nc_state_senate_district_19
cumberland_G8A,202,233,nc_state_senate_district_19
cumberland_G6C,433,399,nc_state_senate_district_19
cumberland_G2C-1,304,361,nc_state_senate_district_19
cumberland_CC04,220,260,nc_state_senate_district_19
cumberland_CC07,280,219,nc_state_senate_district_19
cumberland_G9B-2,664,537,nc_state_senate_district_19
cumberland_CC25,309,388,nc_state_senate_district_19
cumberland_CC26,171,208,nc_state_senate_district_19
cumberland_G2B,420,465,nc_state_senate_district_19
cumberland_G4C,114,201,nc_state_senate_district_19
cumberland_AL51,1130,747,nc_state_senate_district_19
cumberland_G2D,516,551,nc_state_senate_district_19
cumberland_CC32,10,12,nc_state_senate_district_19
cumberland_AH49,97,160,nc_state_senate_district_19
cumberland_CC10,205,143,nc_state_senate_district_19
cumberland_G8B,345,369,nc_state_senate_district_19
cumberland_G8D,554,436,nc_state_senate_district_19
cumberland_LI65,661,466,nc_state_senate_district_19
cumberland_G11A-1,68,137,nc_state_senate_district_19
cumberland_G3A-1,202,361,nc_state_senate_district_19
cumberland_G3A-2,165,205,nc_state_senate_district_19
cumberland_G1A,120,114,nc_state_senate_district_19
cumberland_G11B,108,84,nc_state_senate_district_19
cumberland_CC24,211,227,nc_state_senate_district_19
cumberland_CC29,13,27,nc_state_senate_district_19
cumberland_G2A,141,215,nc_state_senate_district_19
cumberland_G2E-2,1,8,nc_state_senate_district_19
cumberland_G4A,243,250,nc_state_senate_district_19
cumberland_G4B,303,218,nc_state_senate_district_19
cumberland_G6B,339,171,nc_state_senate_district_19
cumberland_CC08,427,211,nc_state_senate_district_19
cumberland_EO61-2,453,289,nc_state_senate_district_19
cumberland_G10A,969,725,nc_state_senate_district_19
cumberland_CC06,252,185,nc_state_senate_district_19
cumberland_CC01,36,49,nc_state_senate_district_19
cumberland_G9A,542,477,nc_state_senate_district_19
cumberland_G5A-2,237,300,nc_state_senate_district_19
cumberland_G7B,341,164,nc_state_senate_district_19
cumberland_CU02,314,350,nc_state_senate_district_19
