prec_id,George Graham,election
craven_19,809,nc_house_of_representatives_district_012
craven_2,947,nc_house_of_representatives_district_012
craven_8,415,nc_house_of_representatives_district_012
craven_5,513,nc_house_of_representatives_district_012
craven_16,113,nc_house_of_representatives_district_012
craven_15,34,nc_house_of_representatives_district_012
craven_17,11,nc_house_of_representatives_district_012
craven_N1,734,nc_house_of_representatives_district_012
craven_N2,896,nc_house_of_representatives_district_012
craven_4,519,nc_house_of_representatives_district_012
craven_7,525,nc_house_of_representatives_district_012
craven_N6,293,nc_house_of_representatives_district_012
craven_N5,595,nc_house_of_representatives_district_012
craven_6,403,nc_house_of_representatives_district_012
craven_3,153,nc_house_of_representatives_district_012
craven_21,375,nc_house_of_representatives_district_012
craven_9,208,nc_house_of_representatives_district_012
craven_10,208,nc_house_of_representatives_district_012
craven_N3,158,nc_house_of_representatives_district_012
craven_N4,836,nc_house_of_representatives_district_012
craven_23,81,nc_house_of_representatives_district_012
greene_SHIN,53,nc_house_of_representatives_district_012
greene_MAUR,193,nc_house_of_representatives_district_012
greene_SH#1,165,nc_house_of_representatives_district_012
greene_ABSENTEE,271,nc_house_of_representatives_district_012
greene_BEAR,120,nc_house_of_representatives_district_012
greene_HOOK,160,nc_house_of_representatives_district_012
greene_WALS,11,nc_house_of_representatives_district_012
greene_SUGG,183,nc_house_of_representatives_district_012
greene_CAST,58,nc_house_of_representatives_district_012
greene_BULL,148,nc_house_of_representatives_district_012
greene_ARBA,173,nc_house_of_representatives_district_012
lenoir_I,575,nc_house_of_representatives_district_012
lenoir_K3,673,nc_house_of_representatives_district_012
lenoir_K6,1113,nc_house_of_representatives_district_012
lenoir_K8,604,nc_house_of_representatives_district_012
lenoir_K2,510,nc_house_of_representatives_district_012
lenoir_K5,714,nc_house_of_representatives_district_012
lenoir_C,558,nc_house_of_representatives_district_012
lenoir_MH,1217,nc_house_of_representatives_district_012
lenoir_N,239,nc_house_of_representatives_district_012
lenoir_K7,1035,nc_house_of_representatives_district_012
lenoir_K1,476,nc_house_of_representatives_district_012
lenoir_CURBSIDE,397,nc_house_of_representatives_district_012
lenoir_ABSENTEE,192,nc_house_of_representatives_district_012
lenoir_K9,1042,nc_house_of_representatives_district_012
lenoir_K4,250,nc_house_of_representatives_district_012
lenoir_V,1011,nc_house_of_representatives_district_012
lenoir_SH,213,nc_house_of_representatives_district_012
