prec_id,John R. Bradford III,Natasha Marcus,election
mecklenburg_CURBSIDE,47,70,nc_house_of_representatives_district_098
mecklenburg_142,875,525,nc_house_of_representatives_district_098
mecklenburg_145,1571,2164,nc_house_of_representatives_district_098
mecklenburg_241,1167,1072,nc_house_of_representatives_district_098
mecklenburg_207,1288,813,nc_house_of_representatives_district_098
mecklenburg_127,1206,910,nc_house_of_representatives_district_098
mecklenburg_239,247,598,nc_house_of_representatives_district_098
mecklenburg_202,1476,1298,nc_house_of_representatives_district_098
mecklenburg_133,1218,691,nc_house_of_representatives_district_098
mecklenburg_240,1332,809,nc_house_of_representatives_district_098
mecklenburg_206,821,1463,nc_house_of_representatives_district_098
mecklenburg_208,1396,770,nc_house_of_representatives_district_098
mecklenburg_242,1185,383,nc_house_of_representatives_district_098
