prec_id,Tim Moore,election
cleveland_S C,441,nc_house_of_representatives_district_111
cleveland_OAKGRV,1119,nc_house_of_representatives_district_111
cleveland_LATT,980,nc_house_of_representatives_district_111
cleveland_LAWNDL,468,nc_house_of_representatives_district_111
cleveland_MULLS,660,nc_house_of_representatives_district_111
cleveland_SHANGI,897,nc_house_of_representatives_district_111
cleveland_KINGST,195,nc_house_of_representatives_district_111
cleveland_S S,1598,nc_house_of_representatives_district_111
cleveland_POLKVL,796,nc_house_of_representatives_district_111
cleveland_BR,1551,nc_house_of_representatives_district_111
cleveland_CASAR,548,nc_house_of_representatives_district_111
cleveland_MRB-YO,493,nc_house_of_representatives_district_111
cleveland_RIPPY,1060,nc_house_of_representatives_district_111
cleveland_BETHWR,611,nc_house_of_representatives_district_111
cleveland_KM N,1305,nc_house_of_representatives_district_111
cleveland_KM S,1118,nc_house_of_representatives_district_111
cleveland_FALSTN,625,nc_house_of_representatives_district_111
cleveland_GROVER,873,nc_house_of_representatives_district_111
