prec_id,Herman Joubert,Mike Woodard,election
caswell_LEAS,125,187,nc_state_senate_district_22
caswell_YANC,354,619,nc_state_senate_district_22
caswell_HIGH,175,255,nc_state_senate_district_22
caswell_LOCU,332,588,nc_state_senate_district_22
caswell_PELH,721,493,nc_state_senate_district_22
caswell_ANDE,244,120,nc_state_senate_district_22
caswell_MILT,349,673,nc_state_senate_district_22
caswell_STON,495,395,nc_state_senate_district_22
caswell_PROS,263,169,nc_state_senate_district_22
caswell_PROVI,207,183,nc_state_senate_district_22
durham_1,20,223,nc_state_senate_district_22
durham_46,7,58,nc_state_senate_district_22
durham_25,464,385,nc_state_senate_district_22
durham_43,552,1652,nc_state_senate_district_22
durham_4,74,637,nc_state_senate_district_22
durham_7,40,415,nc_state_senate_district_22
durham_36,153,671,nc_state_senate_district_22
durham_16,189,611,nc_state_senate_district_22
durham_20,37,572,nc_state_senate_district_22
durham_38,352,931,nc_state_senate_district_22
durham_39,465,849,nc_state_senate_district_22
durham_54,88,315,nc_state_senate_district_22
durham_30-1,286,443,nc_state_senate_district_22
durham_48,150,414,nc_state_senate_district_22
durham_29,137,59,nc_state_senate_district_22
durham_8,7,101,nc_state_senate_district_22
durham_5,77,503,nc_state_senate_district_22
durham_9,92,459,nc_state_senate_district_22
durham_40,35,291,nc_state_senate_district_22
durham_45,605,851,nc_state_senate_district_22
durham_3,33,468,nc_state_senate_district_22
durham_6,52,525,nc_state_senate_district_22
durham_24,352,523,nc_state_senate_district_22
durham_17,0,8,nc_state_senate_district_22
durham_34-2,38,207,nc_state_senate_district_22
durham_37,646,1002,nc_state_senate_district_22
durham_21,5,37,nc_state_senate_district_22
durham_ONESTOP,3859,13974,nc_state_senate_district_22
durham_44,689,719,nc_state_senate_district_22
durham_2,57,433,nc_state_senate_district_22
durham_50,327,920,nc_state_senate_district_22
durham_35.3,515,1338,nc_state_senate_district_22
durham_33,313,746,nc_state_senate_district_22
durham_30-2,70,48,nc_state_senate_district_22
durham_31,396,598,nc_state_senate_district_22
durham_53-1,238,627,nc_state_senate_district_22
durham_53-2,365,999,nc_state_senate_district_22
durham_26,350,239,nc_state_senate_district_22
durham_32,472,360,nc_state_senate_district_22
durham_51,356,1319,nc_state_senate_district_22
durham_27,360,779,nc_state_senate_district_22
durham_28,694,560,nc_state_senate_district_22
person_ROX2,352,466,nc_state_senate_district_22
person_RX1A,503,560,nc_state_senate_district_22
person_OLHI,437,358,nc_state_senate_district_22
person_BFRK,349,286,nc_state_senate_district_22
person_ROX1,235,643,nc_state_senate_district_22
person_ALVI,392,553,nc_state_senate_district_22
person_WDSD,184,310,nc_state_senate_district_22
person_MTTZ,602,466,nc_state_senate_district_22
person_ROX3,225,540,nc_state_senate_district_22
person_HLWY,262,213,nc_state_senate_district_22
person_HUML,166,203,nc_state_senate_district_22
person_ROX4,236,454,nc_state_senate_district_22
person_CUCL,450,398,nc_state_senate_district_22
person_FLRI,1318,913,nc_state_senate_district_22
