prec_id,Brenda Cleary,George Holding,election
durham_ONESTOP,180,151,us_house_of_representatives_district_13
durham_32,338,507,us_house_of_representatives_district_13
edgecombe_1401,46,240,us_house_of_representatives_district_13
edgecombe_801,115,204,us_house_of_representatives_district_13
edgecombe_102,0,0,us_house_of_representatives_district_13
edgecombe_103,265,372,us_house_of_representatives_district_13
edgecombe_1203,55,164,us_house_of_representatives_district_13
edgecombe_901,122,269,us_house_of_representatives_district_13
edgecombe_1301,97,265,us_house_of_representatives_district_13
edgecombe_ONESTOP,1080,890,us_house_of_representatives_district_13
edgecombe_1101,103,180,us_house_of_representatives_district_13
edgecombe_1001,215,239,us_house_of_representatives_district_13
franklin_8,543,733,us_house_of_representatives_district_13
franklin_5,373,635,us_house_of_representatives_district_13
franklin_14,638,1118,us_house_of_representatives_district_13
franklin_19,763,1253,us_house_of_representatives_district_13
franklin_7,206,576,us_house_of_representatives_district_13
franklin_17,480,994,us_house_of_representatives_district_13
franklin_12,296,315,us_house_of_representatives_district_13
franklin_3,284,415,us_house_of_representatives_district_13
franklin_6,486,375,us_house_of_representatives_district_13
franklin_9,327,484,us_house_of_representatives_district_13
franklin_13,309,590,us_house_of_representatives_district_13
franklin_18,431,760,us_house_of_representatives_district_13
granville_MTEN,788,947,us_house_of_representatives_district_13
granville_CRDM,943,867,us_house_of_representatives_district_13
granville_WILT,658,1323,us_house_of_representatives_district_13
nash_34,0,0,us_house_of_representatives_district_13
nash_35,283,649,us_house_of_representatives_district_13
nash_ONESTOP,3519,5783,us_house_of_representatives_district_13
nash_36,311,421,us_house_of_representatives_district_13
nash_37,217,399,us_house_of_representatives_district_13
nash_25,328,598,us_house_of_representatives_district_13
nash_6,181,445,us_house_of_representatives_district_13
nash_8,169,390,us_house_of_representatives_district_13
nash_5,315,477,us_house_of_representatives_district_13
nash_39,259,556,us_house_of_representatives_district_13
nash_26,190,749,us_house_of_representatives_district_13
nash_4,125,732,us_house_of_representatives_district_13
nash_1,328,678,us_house_of_representatives_district_13
nash_15,673,774,us_house_of_representatives_district_13
nash_41,126,306,us_house_of_representatives_district_13
nash_12,105,232,us_house_of_representatives_district_13
vance_KITT,843,874,us_house_of_representatives_district_13
vance_SCRK,969,715,us_house_of_representatives_district_13
vance_CC,53,183,us_house_of_representatives_district_13
wake_44107,488,519,us_house_of_representatives_district_13
wake_19-17,1009,646,us_house_of_representatives_district_13
wake_43848,600,517,us_house_of_representatives_district_13
wake_16-09,613,542,us_house_of_representatives_district_13
wake_17-04,778,627,us_house_of_representatives_district_13
wake_44075,315,562,us_house_of_representatives_district_13
wake_ONESTOP,27289,21952,us_house_of_representatives_district_13
wake_43851,0,3,us_house_of_representatives_district_13
wake_44106,515,610,us_house_of_representatives_district_13
wake_18-04,595,948,us_house_of_representatives_district_13
wake_19-04,947,1391,us_house_of_representatives_district_13
wake_17-02,120,154,us_house_of_representatives_district_13
wake_17-08,1169,835,us_house_of_representatives_district_13
wake_16-01,324,532,us_house_of_representatives_district_13
wake_16-04,462,639,us_house_of_representatives_district_13
wake_44108,986,953,us_house_of_representatives_district_13
wake_13-02,406,480,us_house_of_representatives_district_13
wake_44015,312,381,us_house_of_representatives_district_13
wake_43835,260,334,us_house_of_representatives_district_13
wake_43860,308,356,us_house_of_representatives_district_13
wake_44051,686,852,us_house_of_representatives_district_13
wake_44025,356,339,us_house_of_representatives_district_13
wake_44021,538,444,us_house_of_representatives_district_13
wake_44018,570,793,us_house_of_representatives_district_13
wake_19-12,512,877,us_house_of_representatives_district_13
wake_19-15,301,475,us_house_of_representatives_district_13
wake_13-11,547,808,us_house_of_representatives_district_13
wake_43864,426,883,us_house_of_representatives_district_13
wake_43847,196,266,us_house_of_representatives_district_13
wake_19-13,336,367,us_house_of_representatives_district_13
wake_44048,368,479,us_house_of_representatives_district_13
wake_16438,328,352,us_house_of_representatives_district_13
wake_13-06,591,561,us_house_of_representatives_district_13
wake_14-01,102,231,us_house_of_representatives_district_13
wake_43834,311,325,us_house_of_representatives_district_13
wake_44054,734,655,us_house_of_representatives_district_13
wake_44019,682,699,us_house_of_representatives_district_13
wake_13150,234,547,us_house_of_representatives_district_13
wake_13516,394,441,us_house_of_representatives_district_13
wake_19-11,323,529,us_house_of_representatives_district_13
wake_14-02,546,1549,us_house_of_representatives_district_13
wake_14246,4,2,us_house_of_representatives_district_13
wake_43841,322,777,us_house_of_representatives_district_13
wake_44045,670,718,us_house_of_representatives_district_13
wake_44047,329,463,us_house_of_representatives_district_13
wake_44050,456,695,us_house_of_representatives_district_13
wake_43865,335,713,us_house_of_representatives_district_13
wake_43862,491,846,us_house_of_representatives_district_13
wake_19-14,290,579,us_house_of_representatives_district_13
wake_44023,272,279,us_house_of_representatives_district_13
wake_44017,323,331,us_house_of_representatives_district_13
wake_19-05,331,824,us_house_of_representatives_district_13
wake_44053,429,421,us_house_of_representatives_district_13
wake_43833,445,592,us_house_of_representatives_district_13
wake_43859,488,713,us_house_of_representatives_district_13
wake_43867,326,775,us_house_of_representatives_district_13
wake_43845,323,352,us_house_of_representatives_district_13
wake_07-07A,159,185,us_house_of_representatives_district_13
wake_43866,195,325,us_house_of_representatives_district_13
wake_43863,769,1398,us_house_of_representatives_district_13
wake_44046,708,799,us_house_of_representatives_district_13
wake_19-03,382,647,us_house_of_representatives_district_13
wake_15342,414,712,us_house_of_representatives_district_13
wake_17168,407,623,us_house_of_representatives_district_13
wake_13-10,971,1257,us_house_of_representatives_district_13
wake_44014,293,323,us_house_of_representatives_district_13
wake_12055,81,69,us_house_of_representatives_district_13
wake_43832,44,35,us_house_of_representatives_district_13
wake_44013,385,334,us_house_of_representatives_district_13
wake_44137,796,741,us_house_of_representatives_district_13
