prec_id,Evelyn Terry,election
forsyth_507,1213,nc_house_of_representatives_district_071
forsyth_405,1444,nc_house_of_representatives_district_071
forsyth_601,871,nc_house_of_representatives_district_071
forsyth_604,555,nc_house_of_representatives_district_071
forsyth_403,659,nc_house_of_representatives_district_071
forsyth_701,146,nc_house_of_representatives_district_071
forsyth_707,369,nc_house_of_representatives_district_071
forsyth_ABS/PROV/CURB 4,63,nc_house_of_representatives_district_071
forsyth_401,948,nc_house_of_representatives_district_071
forsyth_122,2073,nc_house_of_representatives_district_071
forsyth_ABS/PROV/CURB 2,394,nc_house_of_representatives_district_071
forsyth_502,767,nc_house_of_representatives_district_071
forsyth_503,845,nc_house_of_representatives_district_071
forsyth_43,518,nc_house_of_representatives_district_071
forsyth_705,406,nc_house_of_representatives_district_071
forsyth_605,1672,nc_house_of_representatives_district_071
forsyth_602,1412,nc_house_of_representatives_district_071
forsyth_123,15,nc_house_of_representatives_district_071
forsyth_501,1211,nc_house_of_representatives_district_071
forsyth_506,721,nc_house_of_representatives_district_071
forsyth_607,276,nc_house_of_representatives_district_071
forsyth_902,961,nc_house_of_representatives_district_071
forsyth_603,1093,nc_house_of_representatives_district_071
forsyth_808,611,nc_house_of_representatives_district_071
forsyth_ABS/PROV/CURB 3,1798,nc_house_of_representatives_district_071
forsyth_606,831,nc_house_of_representatives_district_071
forsyth_708,355,nc_house_of_representatives_district_071
forsyth_505,887,nc_house_of_representatives_district_071
forsyth_504,653,nc_house_of_representatives_district_071
forsyth_404,1269,nc_house_of_representatives_district_071
forsyth_703,38,nc_house_of_representatives_district_071
forsyth_ABS/PROV/CURB 1,9,nc_house_of_representatives_district_071
forsyth_42,331,nc_house_of_representatives_district_071
