prec_id,Becky Carney,election
mecklenburg_CURBSIDE 21-40,558,nc_house_of_representatives_district_102
mecklenburg_31,1408,nc_house_of_representatives_district_102
mecklenburg_97,814,nc_house_of_representatives_district_102
mecklenburg_147,1918,nc_house_of_representatives_district_102
mecklenburg_39,1362,nc_house_of_representatives_district_102
mecklenburg_CURBSIDE 41-60,3,nc_house_of_representatives_district_102
mecklenburg_53,375,nc_house_of_representatives_district_102
mecklenburg_22,3431,nc_house_of_representatives_district_102
mecklenburg_17,881,nc_house_of_representatives_district_102
mecklenburg_1,392,nc_house_of_representatives_district_102
mecklenburg_35,78,nc_house_of_representatives_district_102
mecklenburg_98,1361,nc_house_of_representatives_district_102
mecklenburg_78.1,1030,nc_house_of_representatives_district_102
mecklenburg_CURBSIDE 1-20,121,nc_house_of_representatives_district_102
mecklenburg_122,76,nc_house_of_representatives_district_102
mecklenburg_9,400,nc_house_of_representatives_district_102
mecklenburg_2,1461,nc_house_of_representatives_district_102
mecklenburg_14,962,nc_house_of_representatives_district_102
mecklenburg_23,1087,nc_house_of_representatives_district_102
mecklenburg_77,1379,nc_house_of_representatives_district_102
mecklenburg_52,1535,nc_house_of_representatives_district_102
mecklenburg_13,1791,nc_house_of_representatives_district_102
mecklenburg_120,1271,nc_house_of_representatives_district_102
mecklenburg_138,1492,nc_house_of_representatives_district_102
mecklenburg_228,800,nc_house_of_representatives_district_102
mecklenburg_230,979,nc_house_of_representatives_district_102
