prec_id,Michael Garrett,Trudy Wade,election
guilford_G64,32,47,nc_state_senate_district_27
guilford_G15,759,300,nc_state_senate_district_27
guilford_NMAD,663,799,nc_state_senate_district_27
guilford_FR5A,673,804,nc_state_senate_district_27
guilford_H14,354,779,nc_state_senate_district_27
guilford_G61,56,37,nc_state_senate_district_27
guilford_G42A,771,721,nc_state_senate_district_27
guilford_G43,429,136,nc_state_senate_district_27
guilford_FR5B,402,651,nc_state_senate_district_27
guilford_SUM1,425,499,nc_state_senate_district_27
guilford_GR,371,1396,nc_state_senate_district_27
guilford_H04,950,572,nc_state_senate_district_27
guilford_NWASH,178,747,nc_state_senate_district_27
guilford_JEF1,867,1132,nc_state_senate_district_27
guilford_H20A,472,435,nc_state_senate_district_27
guilford_MON2B,840,457,nc_state_senate_district_27
guilford_JAM5,239,763,nc_state_senate_district_27
guilford_G16,687,495,nc_state_senate_district_27
guilford_FR1,928,592,nc_state_senate_district_27
guilford_G38,1077,733,nc_state_senate_district_27
guilford_G41A,605,486,nc_state_senate_district_27
guilford_ABS/CURB/PROV 4,14,15,nc_state_senate_district_27
guilford_MON1,1064,591,nc_state_senate_district_27
guilford_NCLAY1,734,1177,nc_state_senate_district_27
guilford_G33,692,647,nc_state_senate_district_27
guilford_G35,599,422,nc_state_senate_district_27
guilford_G41B,699,636,nc_state_senate_district_27
guilford_JAM2,605,765,nc_state_senate_district_27
guilford_H13,535,732,nc_state_senate_district_27
guilford_H06,1206,741,nc_state_senate_district_27
guilford_FR4,468,664,nc_state_senate_district_27
guilford_G17,690,566,nc_state_senate_district_27
guilford_MON2A,390,298,nc_state_senate_district_27
guilford_H17,540,246,nc_state_senate_district_27
guilford_H02,453,559,nc_state_senate_district_27
guilford_H01,749,320,nc_state_senate_district_27
guilford_H22,449,421,nc_state_senate_district_27
guilford_H25,1035,1558,nc_state_senate_district_27
guilford_SCLAY,332,1183,nc_state_senate_district_27
guilford_RC2,1363,1641,nc_state_senate_district_27
guilford_SUM2,228,425,nc_state_senate_district_27
guilford_PG2,510,1451,nc_state_senate_district_27
guilford_G65,1034,650,nc_state_senate_district_27
guilford_JAM1,939,1189,nc_state_senate_district_27
guilford_JEF4,636,754,nc_state_senate_district_27
guilford_JEF3,6,39,nc_state_senate_district_27
guilford_G13,804,337,nc_state_senate_district_27
guilford_ABS/PROV/CURB 1,98,92,nc_state_senate_district_27
guilford_G42B,264,178,nc_state_senate_district_27
guilford_G66,1006,748,nc_state_senate_district_27
guilford_JEF2,1059,692,nc_state_senate_district_27
guilford_H12,600,282,nc_state_senate_district_27
guilford_H15,630,632,nc_state_senate_district_27
guilford_PG1,344,638,nc_state_senate_district_27
guilford_SDRI,1300,2301,nc_state_senate_district_27
guilford_SMAD,801,1022,nc_state_senate_district_27
guilford_SUM3,230,708,nc_state_senate_district_27
guilford_SUM4,274,1194,nc_state_senate_district_27
guilford_ABS/PROV/CURB 3,232,270,nc_state_senate_district_27
guilford_JAM4,548,1149,nc_state_senate_district_27
guilford_JAM3,631,792,nc_state_senate_district_27
guilford_H03,395,176,nc_state_senate_district_27
guilford_H16,416,507,nc_state_senate_district_27
guilford_H20B,371,498,nc_state_senate_district_27
guilford_H26,694,832,nc_state_senate_district_27
guilford_FEN2,505,921,nc_state_senate_district_27
guilford_H23,370,659,nc_state_senate_district_27
guilford_H27-A,909,919,nc_state_senate_district_27
guilford_H27-B,503,591,nc_state_senate_district_27
guilford_G34,796,698,nc_state_senate_district_27
guilford_G36,840,518,nc_state_senate_district_27
guilford_G39,708,383,nc_state_senate_district_27
guilford_RC1,1195,1229,nc_state_senate_district_27
guilford_ABS/PROV/CURB 2,75,46,nc_state_senate_district_27
guilford_SWASH,143,523,nc_state_senate_district_27
guilford_H21,447,605,nc_state_senate_district_27
guilford_FR2,743,874,nc_state_senate_district_27
guilford_H24,722,996,nc_state_senate_district_27
guilford_GIB,766,984,nc_state_senate_district_27
guilford_NCLAY2,308,793,nc_state_senate_district_27
guilford_FEN1,256,454,nc_state_senate_district_27
