prec_id,Dana Bumgardner,election
gaston_ONESTOP,5429,nc_house_of_representatives_district_109
gaston_15,971,nc_house_of_representatives_district_109
gaston_17,658,nc_house_of_representatives_district_109
gaston_1,154,nc_house_of_representatives_district_109
gaston_16,724,nc_house_of_representatives_district_109
gaston_19,630,nc_house_of_representatives_district_109
gaston_4,671,nc_house_of_representatives_district_109
gaston_27,923,nc_house_of_representatives_district_109
gaston_28,710,nc_house_of_representatives_district_109
gaston_31,723,nc_house_of_representatives_district_109
gaston_6,85,nc_house_of_representatives_district_109
gaston_23,584,nc_house_of_representatives_district_109
gaston_3,160,nc_house_of_representatives_district_109
gaston_11,157,nc_house_of_representatives_district_109
gaston_29,791,nc_house_of_representatives_district_109
gaston_2,226,nc_house_of_representatives_district_109
gaston_5,113,nc_house_of_representatives_district_109
