prec_id,Richard Hudson,Thomas Mills,election
hoke_3,168,339,us_house_of_representatives_district_8
hoke_4,376,272,us_house_of_representatives_district_8
hoke_1,104,111,us_house_of_representatives_district_8
hoke_5,482,478,us_house_of_representatives_district_8
hoke_2,386,668,us_house_of_representatives_district_8
hoke_62,244,306,us_house_of_representatives_district_8
hoke_14,901,1415,us_house_of_representatives_district_8
hoke_63,512,1251,us_house_of_representatives_district_8
hoke_06B,1240,1163,us_house_of_representatives_district_8
hoke_13,529,294,us_house_of_representatives_district_8
hoke_64,556,626,us_house_of_representatives_district_8
hoke_65,22,456,us_house_of_representatives_district_8
moore_OS-DC PAPER,620,215,us_house_of_representatives_district_8
moore_VSS,383,145,us_house_of_representatives_district_8
moore_WAB,724,434,us_house_of_representatives_district_8
moore_WEM,636,110,us_house_of_representatives_district_8
moore_ABSENTEE,1692,848,us_house_of_representatives_district_8
moore_WKWD,365,131,us_house_of_representatives_district_8
moore_BEN,386,147,us_house_of_representatives_district_8
moore_SLS,691,170,us_house_of_representatives_district_8
moore_CAM,428,140,us_house_of_representatives_district_8
moore_EUR-WP,963,217,us_house_of_representatives_district_8
moore_CAR,552,231,us_house_of_representatives_district_8
moore_PHB2,503,111,us_house_of_representatives_district_8
moore_SSP,363,577,us_house_of_representatives_district_8
moore_OS-WEG PAPER,2056,1063,us_house_of_representatives_district_8
moore_PHB1,497,145,us_house_of_representatives_district_8
moore_LTR,606,178,us_house_of_representatives_district_8
moore_DHR,441,90,us_house_of_representatives_district_8
moore_EWD,313,121,us_house_of_representatives_district_8
moore_OS-AG PAPER,9084,5184,us_house_of_representatives_district_8
moore_NSP,467,280,us_house_of_representatives_district_8
moore_TLT,55,142,us_house_of_representatives_district_8
moore_PHA1,599,192,us_house_of_representatives_district_8
moore_PHA2,403,95,us_house_of_representatives_district_8
moore_PDN,703,300,us_house_of_representatives_district_8
moore_OS-PFD PAPER,4230,2199,us_house_of_representatives_district_8
moore_OS-VRS PAPER,928,470,us_house_of_representatives_district_8
moore_WND,313,152,us_house_of_representatives_district_8
moore_PHC,860,287,us_house_of_representatives_district_8
moore_RBN,244,78,us_house_of_representatives_district_8
moore_PBF,540,335,us_house_of_representatives_district_8
moore_EKWD,242,87,us_house_of_representatives_district_8
moore_EAB,529,361,us_house_of_representatives_district_8
montgomery_LIT,301,73,us_house_of_representatives_district_8
