prec_id,Dan Blue,election
wake_OSLOB 41-80,1168,nc_state_senate_district_14
wake_OSNB 1-40,232,nc_state_senate_district_14
wake_ABSEN 41-80,468,nc_state_senate_district_14
wake_19-04,35,nc_state_senate_district_14
wake_OSWD 41-80,969,nc_state_senate_district_14
wake_OSWA 41-80,37,nc_state_senate_district_14
wake_OSGR 81-91,12,nc_state_senate_district_14
wake_OSAV 81-91,91,nc_state_senate_district_14
wake_OSNR 1-40,600,nc_state_senate_district_14
wake_13-09,815,nc_state_senate_district_14
wake_16-03,156,nc_state_senate_district_14
wake_16-08,1276,nc_state_senate_district_14
wake_17-07,710,nc_state_senate_district_14
wake_17-10,250,nc_state_senate_district_14
wake_17-01,582,nc_state_senate_district_14
wake_17-04,505,nc_state_senate_district_14
wake_43858,946,nc_state_senate_district_14
wake_43855,152,nc_state_senate_district_14
wake_44107,25,nc_state_senate_district_14
wake_18-01,50,nc_state_senate_district_14
wake_17-05,822,nc_state_senate_district_14
wake_OSCA 81-91,2,nc_state_senate_district_14
wake_OSLL 81-91,2,nc_state_senate_district_14
wake_PROVI 1-40,613,nc_state_senate_district_14
wake_OSNR 81-91,11,nc_state_senate_district_14
wake_OSTC 1-40,103,nc_state_senate_district_14
wake_TRANS 1-40,0,nc_state_senate_district_14
wake_43849,502,nc_state_senate_district_14
wake_44106,284,nc_state_senate_district_14
wake_OSAB 41-80,287,nc_state_senate_district_14
wake_17-09,834,nc_state_senate_district_14
wake_13-05,376,nc_state_senate_district_14
wake_13-08,633,nc_state_senate_district_14
wake_43844,64,nc_state_senate_district_14
wake_PROVI 41-80,112,nc_state_senate_district_14
wake_OSCH 1-40,15261,nc_state_senate_district_14
wake_OSGR 41-80,1125,nc_state_senate_district_14
wake_ABSEN 81-91,23,nc_state_senate_district_14
wake_OSAP 81-91,2,nc_state_senate_district_14
wake_18-04,68,nc_state_senate_district_14
wake_43851,56,nc_state_senate_district_14
wake_12420,519,nc_state_senate_district_14
wake_OSOP 41-80,542,nc_state_senate_district_14
wake_OSCA 41-80,62,nc_state_senate_district_14
wake_OSKD 41-80,1936,nc_state_senate_district_14
wake_OSLOB 81-91,21,nc_state_senate_district_14
wake_43852,877,nc_state_senate_district_14
wake_15707,284,nc_state_senate_district_14
wake_17-08,1133,nc_state_senate_district_14
wake_17-02,118,nc_state_senate_district_14
wake_16-04,154,nc_state_senate_district_14
wake_16-01,12,nc_state_senate_district_14
wake_OSFB 41-80,23,nc_state_senate_district_14
wake_OSNB 41-80,250,nc_state_senate_district_14
wake_OSZB 1-40,661,nc_state_senate_district_14
wake_OSAP 41-80,27,nc_state_senate_district_14
wake_OSAP 1-40,87,nc_state_senate_district_14
wake_44108,696,nc_state_senate_district_14
wake_13-01,916,nc_state_senate_district_14
wake_19-17,268,nc_state_senate_district_14
wake_17-03,913,nc_state_senate_district_14
wake_13881,129,nc_state_senate_district_14
wake_43857,289,nc_state_senate_district_14
wake_OSLL 1-40,792,nc_state_senate_district_14
wake_OSFV 81-91,0,nc_state_senate_district_14
wake_OSAV 41-80,388,nc_state_senate_district_14
wake_OSCB 81-91,8,nc_state_senate_district_14
wake_OSCB 1-40,261,nc_state_senate_district_14
wake_OSTC 81-91,0,nc_state_senate_district_14
wake_OSOP 81-91,1,nc_state_senate_district_14
wake_OSTC 41-80,24,nc_state_senate_district_14
wake_13-07,575,nc_state_senate_district_14
wake_17-11,866,nc_state_senate_district_14
wake_OSNR 41-80,160,nc_state_senate_district_14
wake_16-09,95,nc_state_senate_district_14
wake_ABSEN 1-40,1496,nc_state_senate_district_14
wake_43850,613,nc_state_senate_district_14
wake_14611,1005,nc_state_senate_district_14
wake_OSZB 41-80,1014,nc_state_senate_district_14
wake_TRANS 81-91,0,nc_state_senate_district_14
wake_16803,634,nc_state_senate_district_14
wake_16072,685,nc_state_senate_district_14
wake_43856,633,nc_state_senate_district_14
wake_43853,0,nc_state_senate_district_14
wake_12785,516,nc_state_senate_district_14
wake_OSLOB 1-40,2344,nc_state_senate_district_14
wake_OSWA 1-40,193,nc_state_senate_district_14
wake_OSWA 81-91,16,nc_state_senate_district_14
wake_OSCB 41-80,90,nc_state_senate_district_14
wake_OSZB 81-91,5,nc_state_senate_district_14
wake_TRANS 41-80,0,nc_state_senate_district_14
wake_OSHS 81-91,0,nc_state_senate_district_14
wake_OSKD 81-91,69,nc_state_senate_district_14
wake_OSCA 1-40,250,nc_state_senate_district_14
wake_OSFV 1-40,27,nc_state_senate_district_14
wake_43848,260,nc_state_senate_district_14
wake_OSWD 81-91,4,nc_state_senate_district_14
wake_16-06,169,nc_state_senate_district_14
wake_OSWD 1-40,650,nc_state_senate_district_14
wake_OSCH 81-91,72,nc_state_senate_district_14
wake_OSAB 1-40,1880,nc_state_senate_district_14
wake_OSHS 41-80,4,nc_state_senate_district_14
wake_PROVI 81-91,5,nc_state_senate_district_14
wake_OSKD 1-40,3117,nc_state_senate_district_14
wake_OSGR 1-40,6590,nc_state_senate_district_14
wake_OSFV 41-80,4,nc_state_senate_district_14
wake_44075,143,nc_state_senate_district_14
wake_43843,46,nc_state_senate_district_14
wake_OSCH 41-80,1370,nc_state_senate_district_14
wake_OSAB 81-91,7,nc_state_senate_district_14
wake_OSHS 1-40,28,nc_state_senate_district_14
wake_OSLL 41-80,414,nc_state_senate_district_14
wake_OSOP 1-40,411,nc_state_senate_district_14
wake_16-02,929,nc_state_senate_district_14
wake_18264,586,nc_state_senate_district_14
wake_OSFB 1-40,99,nc_state_senate_district_14
wake_OSFB 81-91,0,nc_state_senate_district_14
wake_OSAV 1-40,4126,nc_state_senate_district_14
wake_OSNB 81-91,20,nc_state_senate_district_14
