prec_id,Lee Zachary,election
alexander_W,673,nc_house_of_representatives_district_073
alexander_T3,439,nc_house_of_representatives_district_073
alexander_G2,317,nc_house_of_representatives_district_073
alexander_S1,689,nc_house_of_representatives_district_073
alexander_SL,350,nc_house_of_representatives_district_073
alexander_B2,1341,nc_house_of_representatives_district_073
alexander_S2,297,nc_house_of_representatives_district_073
alexander_T2,512,nc_house_of_representatives_district_073
alexander_E,911,nc_house_of_representatives_district_073
alexander_L,434,nc_house_of_representatives_district_073
alexander_G1,257,nc_house_of_representatives_district_073
alexander_T1,481,nc_house_of_representatives_district_073
alexander_T4,519,nc_house_of_representatives_district_073
alexander_T5,335,nc_house_of_representatives_district_073
alexander_M,570,nc_house_of_representatives_district_073
alexander_B1,1167,nc_house_of_representatives_district_073
wilkes_ONESTOP,67,nc_house_of_representatives_district_073
wilkes_128,0,nc_house_of_representatives_district_073
wilkes_103,175,nc_house_of_representatives_district_073
wilkes_122,308,nc_house_of_representatives_district_073
yadkin_BNVL,921,nc_house_of_representatives_district_073
yadkin_SLIB,738,nc_house_of_representatives_district_073
yadkin_DCRK,568,nc_house_of_representatives_district_073
yadkin_NFAL,421,nc_house_of_representatives_district_073
yadkin_NLIB,898,nc_house_of_representatives_district_073
yadkin_FBSH,1081,nc_house_of_representatives_district_073
yadkin_NKNB,877,nc_house_of_representatives_district_073
yadkin_NBCK,503,nc_house_of_representatives_district_073
yadkin_EBND,709,nc_house_of_representatives_district_073
yadkin_SKNB,425,nc_house_of_representatives_district_073
yadkin_ONESTOP,1586,nc_house_of_representatives_district_073
yadkin_SFAL,551,nc_house_of_representatives_district_073
yadkin_SBCK,287,nc_house_of_representatives_district_073
