prec_id,Charles Warren,Frank Iler,election
brunswick_ABSENTEE MAIL,668,1191,nc_house_of_representatives_district_017
brunswick_04A,1397,2169,nc_house_of_representatives_district_017
brunswick_CURBSIDE,294,435,nc_house_of_representatives_district_017
brunswick_8,1105,2151,nc_house_of_representatives_district_017
brunswick_22,502,1227,nc_house_of_representatives_district_017
brunswick_10A,724,1523,nc_house_of_representatives_district_017
brunswick_21,766,2106,nc_house_of_representatives_district_017
brunswick_18,351,761,nc_house_of_representatives_district_017
brunswick_13,714,1250,nc_house_of_representatives_district_017
brunswick_9,236,535,nc_house_of_representatives_district_017
brunswick_23,569,1206,nc_house_of_representatives_district_017
brunswick_15,1130,2566,nc_house_of_representatives_district_017
brunswick_17,1416,2262,nc_house_of_representatives_district_017
brunswick_10B,1142,2548,nc_house_of_representatives_district_017
brunswick_12,615,1316,nc_house_of_representatives_district_017
brunswick_7,747,1390,nc_house_of_representatives_district_017
brunswick_16,1104,2003,nc_house_of_representatives_district_017
brunswick_20,618,1495,nc_house_of_representatives_district_017
brunswick_11,714,659,nc_house_of_representatives_district_017
brunswick_14,813,1987,nc_house_of_representatives_district_017
brunswick_19,866,1848,nc_house_of_representatives_district_017
