prec_id,David L. Curtis,Nic Haag,election
gaston_OS-DALLAS,244,37,nc_state_senate_district_44
gaston_43,545,157,nc_state_senate_district_44
gaston_OS-CHERRYVILLE,0,1,nc_state_senate_district_44
gaston_OS-BOE,71,78,nc_state_senate_district_44
gaston_ABSENTEE,157,29,nc_state_senate_district_44
gaston_OS-LIBRARY,31,11,nc_state_senate_district_44
gaston_42,494,110,nc_state_senate_district_44
gaston_OS-MOUNT HOLLY,1688,440,nc_state_senate_district_44
gaston_OS-FBC GASTONIA,11,1,nc_state_senate_district_44
iredell_DV2-A,2270,497,nc_state_senate_district_44
iredell_ST3,980,705,nc_state_senate_district_44
iredell_FT,3743,1005,nc_state_senate_district_44
iredell_CC1,2790,989,nc_state_senate_district_44
iredell_DV1-A,3824,1079,nc_state_senate_district_44
iredell_ST1,1664,670,nc_state_senate_district_44
iredell_ST4,1296,591,nc_state_senate_district_44
iredell_DV1-B,5026,1191,nc_state_senate_district_44
iredell_ST2,1144,573,nc_state_senate_district_44
iredell_SH-B,1711,337,nc_state_senate_district_44
iredell_ST5,1086,692,nc_state_senate_district_44
iredell_ST6,955,787,nc_state_senate_district_44
iredell_CC2,2344,1007,nc_state_senate_district_44
iredell_CC4,2884,1025,nc_state_senate_district_44
iredell_SH-A,1684,310,nc_state_senate_district_44
iredell_CC3,3539,1269,nc_state_senate_district_44
iredell_DV2-B,2247,683,nc_state_senate_district_44
lincoln_OB21,520,96,nc_state_senate_district_44
lincoln_OS-WEST,1806,305,nc_state_senate_district_44
lincoln_LS12,163,83,nc_state_senate_district_44
lincoln_DW28,428,82,nc_state_senate_district_44
lincoln_HC33,691,132,nc_state_senate_district_44
lincoln_AS25,517,98,nc_state_senate_district_44
lincoln_SL24,428,93,nc_state_senate_district_44
lincoln_OS-EAST,7995,1885,nc_state_senate_district_44
lincoln_NB35,620,65,nc_state_senate_district_44
lincoln_DN29,498,107,nc_state_senate_district_44
lincoln_IS20,494,79,nc_state_senate_district_44
lincoln_OS-LINCOLN,7595,1954,nc_state_senate_district_44
lincoln_LI14,248,60,nc_state_senate_district_44
lincoln_LN11,192,93,nc_state_senate_district_44
lincoln_LW31,523,105,nc_state_senate_district_44
lincoln_BS26,444,79,nc_state_senate_district_44
lincoln_ST36,580,130,nc_state_senate_district_44
lincoln_TA37,365,89,nc_state_senate_district_44
lincoln_BC13,214,92,nc_state_senate_district_44
lincoln_ABSENTEE,811,210,nc_state_senate_district_44
lincoln_IS23,504,122,nc_state_senate_district_44
lincoln_LW18,258,41,nc_state_senate_district_44
lincoln_DV08,629,115,nc_state_senate_district_44
lincoln_LB34,596,115,nc_state_senate_district_44
lincoln_CF19,282,65,nc_state_senate_district_44
lincoln_WP32,680,196,nc_state_senate_district_44
lincoln_PC22,506,99,nc_state_senate_district_44
