prec_id,Beverly Miller Earle,election
mecklenburg_CURBSIDE,224,nc_house_of_representatives_district_101
mecklenburg_209,79,nc_house_of_representatives_district_101
mecklenburg_223.1,1020,nc_house_of_representatives_district_101
mecklenburg_224,406,nc_house_of_representatives_district_101
mecklenburg_11,936,nc_house_of_representatives_district_101
mecklenburg_210,14,nc_house_of_representatives_district_101
mecklenburg_211,1451,nc_house_of_representatives_district_101
mecklenburg_79,532,nc_house_of_representatives_district_101
mecklenburg_150,985,nc_house_of_representatives_district_101
mecklenburg_53,767,nc_house_of_representatives_district_101
mecklenburg_80,919,nc_house_of_representatives_district_101
mecklenburg_24,755,nc_house_of_representatives_district_101
mecklenburg_222,1845,nc_house_of_representatives_district_101
mecklenburg_81,1275,nc_house_of_representatives_district_101
mecklenburg_40,736,nc_house_of_representatives_district_101
mecklenburg_12,689,nc_house_of_representatives_district_101
mecklenburg_41,770,nc_house_of_representatives_district_101
mecklenburg_89,1677,nc_house_of_representatives_district_101
