prec_id,Charles Graham,election
robeson_11,132,nc_house_of_representatives_district_047
robeson_29,90,nc_house_of_representatives_district_047
robeson_OS PEMBROKE,1844,nc_house_of_representatives_district_047
robeson_OS FAIRMONT,276,nc_house_of_representatives_district_047
robeson_2,369,nc_house_of_representatives_district_047
robeson_22,672,nc_house_of_representatives_district_047
robeson_34,352,nc_house_of_representatives_district_047
robeson_35,615,nc_house_of_representatives_district_047
robeson_14,220,nc_house_of_representatives_district_047
robeson_19,187,nc_house_of_representatives_district_047
robeson_OS MAXTON,352,nc_house_of_representatives_district_047
robeson_OS ST PAULS,385,nc_house_of_representatives_district_047
robeson_OS RED SPRINGS,372,nc_house_of_representatives_district_047
robeson_39,475,nc_house_of_representatives_district_047
robeson_38,116,nc_house_of_representatives_district_047
robeson_20,287,nc_house_of_representatives_district_047
robeson_1,258,nc_house_of_representatives_district_047
robeson_11A,356,nc_house_of_representatives_district_047
robeson_4,640,nc_house_of_representatives_district_047
robeson_7,151,nc_house_of_representatives_district_047
robeson_25,361,nc_house_of_representatives_district_047
robeson_28,302,nc_house_of_representatives_district_047
robeson_41,3,nc_house_of_representatives_district_047
robeson_36,206,nc_house_of_representatives_district_047
robeson_ABSENTEE,222,nc_house_of_representatives_district_047
robeson_12,301,nc_house_of_representatives_district_047
robeson_15,49,nc_house_of_representatives_district_047
robeson_3,0,nc_house_of_representatives_district_047
robeson_23,700,nc_house_of_representatives_district_047
robeson_24,229,nc_house_of_representatives_district_047
robeson_40,175,nc_house_of_representatives_district_047
robeson_32A,359,nc_house_of_representatives_district_047
robeson_18A,250,nc_house_of_representatives_district_047
robeson_05A,150,nc_house_of_representatives_district_047
robeson_30,532,nc_house_of_representatives_district_047
robeson_33,181,nc_house_of_representatives_district_047
robeson_13,361,nc_house_of_representatives_district_047
robeson_26A,133,nc_house_of_representatives_district_047
robeson_10,126,nc_house_of_representatives_district_047
robeson_9,310,nc_house_of_representatives_district_047
robeson_OS LUMBERTON BOE,3913,nc_house_of_representatives_district_047
