prec_id,"Paul Lowe, Jr.",election
forsyth_72,225,nc_state_senate_district_32
forsyth_507,2451,nc_state_senate_district_32
forsyth_908,3,nc_state_senate_district_32
forsyth_131,35,nc_state_senate_district_32
forsyth_402,687,nc_state_senate_district_32
forsyth_405,1434,nc_state_senate_district_32
forsyth_601,957,nc_state_senate_district_32
forsyth_604,648,nc_state_senate_district_32
forsyth_403,836,nc_state_senate_district_32
forsyth_207,1165,nc_state_senate_district_32
forsyth_31,396,nc_state_senate_district_32
forsyth_701,148,nc_state_senate_district_32
forsyth_702,143,nc_state_senate_district_32
forsyth_707,303,nc_state_senate_district_32
forsyth_302,555,nc_state_senate_district_32
forsyth_101,742,nc_state_senate_district_32
forsyth_909,404,nc_state_senate_district_32
forsyth_304,1145,nc_state_senate_district_32
forsyth_67,649,nc_state_senate_district_32
forsyth_83,1043,nc_state_senate_district_32
forsyth_806,27,nc_state_senate_district_32
forsyth_709,1315,nc_state_senate_district_32
forsyth_ABS/PROV/CURB 4,500,nc_state_senate_district_32
forsyth_205,471,nc_state_senate_district_32
forsyth_401,925,nc_state_senate_district_32
forsyth_33,1069,nc_state_senate_district_32
forsyth_122,2059,nc_state_senate_district_32
forsyth_65,83,nc_state_senate_district_32
forsyth_63,86,nc_state_senate_district_32
forsyth_901,366,nc_state_senate_district_32
forsyth_906,878,nc_state_senate_district_32
forsyth_ABS/PROV/CURB 2,1937,nc_state_senate_district_32
forsyth_305,831,nc_state_senate_district_32
forsyth_502,740,nc_state_senate_district_32
forsyth_503,816,nc_state_senate_district_32
forsyth_204,845,nc_state_senate_district_32
forsyth_43,540,nc_state_senate_district_32
forsyth_706,592,nc_state_senate_district_32
forsyth_705,679,nc_state_senate_district_32
forsyth_132,545,nc_state_senate_district_32
forsyth_807,81,nc_state_senate_district_32
forsyth_605,1661,nc_state_senate_district_32
forsyth_602,1967,nc_state_senate_district_32
forsyth_32,235,nc_state_senate_district_32
forsyth_111,35,nc_state_senate_district_32
forsyth_123,390,nc_state_senate_district_32
forsyth_501,1164,nc_state_senate_district_32
forsyth_506,717,nc_state_senate_district_32
forsyth_607,1107,nc_state_senate_district_32
forsyth_904,1146,nc_state_senate_district_32
forsyth_907,280,nc_state_senate_district_32
forsyth_902,946,nc_state_senate_district_32
forsyth_603,1087,nc_state_senate_district_32
forsyth_66,59,nc_state_senate_district_32
forsyth_203,907,nc_state_senate_district_32
forsyth_808,1334,nc_state_senate_district_32
forsyth_ABS/PROV/CURB 3,3561,nc_state_senate_district_32
forsyth_606,826,nc_state_senate_district_32
forsyth_708,1558,nc_state_senate_district_32
forsyth_61,309,nc_state_senate_district_32
forsyth_81,1467,nc_state_senate_district_32
forsyth_201,2060,nc_state_senate_district_32
forsyth_206,906,nc_state_senate_district_32
forsyth_64,203,nc_state_senate_district_32
forsyth_301,546,nc_state_senate_district_32
forsyth_505,853,nc_state_senate_district_32
forsyth_504,618,nc_state_senate_district_32
forsyth_404,1222,nc_state_senate_district_32
forsyth_704,350,nc_state_senate_district_32
forsyth_703,61,nc_state_senate_district_32
forsyth_903,362,nc_state_senate_district_32
forsyth_905,642,nc_state_senate_district_32
forsyth_303,423,nc_state_senate_district_32
forsyth_306,820,nc_state_senate_district_32
forsyth_13,804,nc_state_senate_district_32
forsyth_112,288,nc_state_senate_district_32
forsyth_ABS/PROV/CURB 1,514,nc_state_senate_district_32
forsyth_42,907,nc_state_senate_district_32
forsyth_82,2002,nc_state_senate_district_32
