prec_id,Kathy Harrington,election
gaston_11,173,nc_state_senate_district_43
gaston_1,142,nc_state_senate_district_43
gaston_OS-DALLAS,8449,nc_state_senate_district_43
gaston_16,499,nc_state_senate_district_43
gaston_19,515,nc_state_senate_district_43
gaston_20,520,nc_state_senate_district_43
gaston_32,564,nc_state_senate_district_43
gaston_39,694,nc_state_senate_district_43
gaston_38,370,nc_state_senate_district_43
gaston_7,37,nc_state_senate_district_43
gaston_4,656,nc_state_senate_district_43
gaston_25,354,nc_state_senate_district_43
gaston_28,685,nc_state_senate_district_43
gaston_41,324,nc_state_senate_district_43
gaston_46,525,nc_state_senate_district_43
gaston_27,815,nc_state_senate_district_43
gaston_OS-CHERRYVILLE,2470,nc_state_senate_district_43
gaston_15,692,nc_state_senate_district_43
gaston_17,381,nc_state_senate_district_43
gaston_12,415,nc_state_senate_district_43
gaston_36,473,nc_state_senate_district_43
gaston_10,284,nc_state_senate_district_43
gaston_OS-BOE,11971,nc_state_senate_district_43
gaston_ABSENTEE,2547,nc_state_senate_district_43
gaston_6,114,nc_state_senate_district_43
gaston_9,195,nc_state_senate_district_43
gaston_40,417,nc_state_senate_district_43
gaston_23,656,nc_state_senate_district_43
gaston_26,416,nc_state_senate_district_43
gaston_OS-LIBRARY,6053,nc_state_senate_district_43
gaston_3,193,nc_state_senate_district_43
gaston_24,488,nc_state_senate_district_43
gaston_45,397,nc_state_senate_district_43
gaston_18,622,nc_state_senate_district_43
gaston_13,490,nc_state_senate_district_43
gaston_30,442,nc_state_senate_district_43
gaston_33,292,nc_state_senate_district_43
gaston_31,518,nc_state_senate_district_43
gaston_21,319,nc_state_senate_district_43
gaston_37,293,nc_state_senate_district_43
gaston_2,244,nc_state_senate_district_43
gaston_5,150,nc_state_senate_district_43
gaston_8,159,nc_state_senate_district_43
gaston_44,674,nc_state_senate_district_43
gaston_22,636,nc_state_senate_district_43
gaston_29,611,nc_state_senate_district_43
gaston_OS-MOUNT HOLLY,9261,nc_state_senate_district_43
gaston_OS-FBC GASTONIA,5739,nc_state_senate_district_43
gaston_35,278,nc_state_senate_district_43
gaston_34,396,nc_state_senate_district_43
gaston_14,189,nc_state_senate_district_43
