prec_id,Chris Whitmire,Norm Bossert,election
henderson_AR,400,199,nc_house_of_representatives_district_113
henderson_GR,821,253,nc_house_of_representatives_district_113
henderson_EF,582,231,nc_house_of_representatives_district_113
henderson_AT,1063,463,nc_house_of_representatives_district_113
henderson_HS,793,419,nc_house_of_representatives_district_113
henderson_ES,555,337,nc_house_of_representatives_district_113
henderson_RR,264,163,nc_house_of_representatives_district_113
henderson_CB,391,161,nc_house_of_representatives_district_113
henderson_ONESTOP,61,38,nc_house_of_representatives_district_113
henderson_EV,851,406,nc_house_of_representatives_district_113
henderson_FR,1208,610,nc_house_of_representatives_district_113
polk_WO06,505,287,nc_house_of_representatives_district_113
polk_TR123,706,815,nc_house_of_representatives_district_113
polk_CL07,660,452,nc_house_of_representatives_district_113
polk_GC09,764,479,nc_house_of_representatives_district_113
polk_CG05,451,135,nc_house_of_representatives_district_113
polk_CL08,827,474,nc_house_of_representatives_district_113
polk_SA04,434,287,nc_house_of_representatives_district_113
transylvania_TC1,339,78,nc_house_of_representatives_district_113
transylvania_DR,776,614,nc_house_of_representatives_district_113
transylvania_RE,765,197,nc_house_of_representatives_district_113
transylvania_B4,339,448,nc_house_of_representatives_district_113
transylvania_CM,241,182,nc_house_of_representatives_district_113
transylvania_WC,614,398,nc_house_of_representatives_district_113
transylvania_B2,317,420,nc_house_of_representatives_district_113
transylvania_B3,535,465,nc_house_of_representatives_district_113
transylvania_PF,390,221,nc_house_of_representatives_district_113
transylvania_B1,456,503,nc_house_of_representatives_district_113
transylvania_TC7,637,202,nc_house_of_representatives_district_113
transylvania_LR,591,265,nc_house_of_representatives_district_113
transylvania_BD,801,475,nc_house_of_representatives_district_113
transylvania_CC,841,392,nc_house_of_representatives_district_113
transylvania_EF,331,209,nc_house_of_representatives_district_113
