prec_id,Terry Garrison,election
granville_EAOX,827,nc_house_of_representatives_district_032
granville_OKHL,663,nc_house_of_representatives_district_032
granville_SALM,623,nc_house_of_representatives_district_032
granville_ANTI,448,nc_house_of_representatives_district_032
granville_SOOX,941,nc_house_of_representatives_district_032
granville_SASS,980,nc_house_of_representatives_district_032
granville_CORI,486,nc_house_of_representatives_district_032
granville_CRDL,611,nc_house_of_representatives_district_032
granville_WOEL,890,nc_house_of_representatives_district_032
vance_NV,739,nc_house_of_representatives_district_032
vance_EH1,1172,nc_house_of_representatives_district_032
vance_SH2,380,nc_house_of_representatives_district_032
vance_HTOP,398,nc_house_of_representatives_district_032
vance_NH1,1208,nc_house_of_representatives_district_032
vance_MIDD,1448,nc_house_of_representatives_district_032
vance_KITT,1766,nc_house_of_representatives_district_032
vance_NH,1778,nc_house_of_representatives_district_032
vance_SCRK,1923,nc_house_of_representatives_district_032
vance_SH1,1020,nc_house_of_representatives_district_032
vance_CC,1244,nc_house_of_representatives_district_032
vance_WH,2006,nc_house_of_representatives_district_032
warren_5,715,nc_house_of_representatives_district_032
warren_12,337,nc_house_of_representatives_district_032
warren_4,476,nc_house_of_representatives_district_032
warren_7,440,nc_house_of_representatives_district_032
warren_10,1082,nc_house_of_representatives_district_032
warren_2,405,nc_house_of_representatives_district_032
warren_3,546,nc_house_of_representatives_district_032
warren_13,310,nc_house_of_representatives_district_032
warren_11,222,nc_house_of_representatives_district_032
warren_14,812,nc_house_of_representatives_district_032
warren_6,666,nc_house_of_representatives_district_032
warren_1,507,nc_house_of_representatives_district_032
warren_8,791,nc_house_of_representatives_district_032
warren_9,282,nc_house_of_representatives_district_032
