prec_id,Kevin Corbin,Randy Hogsed,election
cherokee_PCHT,1005,427,nc_house_of_representatives_district_120
cherokee_GCRK,240,67,nc_house_of_representatives_district_120
cherokee_HOTH,651,216,nc_house_of_representatives_district_120
cherokee_ANSW,706,322,nc_house_of_representatives_district_120
cherokee_MURN,820,457,nc_house_of_representatives_district_120
cherokee_MARB,648,247,nc_house_of_representatives_district_120
cherokee_ANNW,655,306,nc_house_of_representatives_district_120
cherokee_HANG,417,97,nc_house_of_representatives_district_120
cherokee_RGER,729,325,nc_house_of_representatives_district_120
cherokee_HIWA,907,309,nc_house_of_representatives_district_120
cherokee_CSON,442,146,nc_house_of_representatives_district_120
cherokee_UNKA,272,93,nc_house_of_representatives_district_120
cherokee_TOPT,224,67,nc_house_of_representatives_district_120
cherokee_BRAS,389,194,nc_house_of_representatives_district_120
cherokee_BELL,564,245,nc_house_of_representatives_district_120
cherokee_MURS,978,399,nc_house_of_representatives_district_120
clay_WARN,324,152,nc_house_of_representatives_district_120
clay_SWEE,340,135,nc_house_of_representatives_district_120
clay_HAYC,184,85,nc_house_of_representatives_district_120
clay_HAY2,617,305,nc_house_of_representatives_district_120
clay_TUSQ,316,134,nc_house_of_representatives_district_120
clay_BRAS,390,208,nc_house_of_representatives_district_120
clay_SHCR,607,178,nc_house_of_representatives_district_120
clay_HAY1,555,249,nc_house_of_representatives_district_120
clay_HIAW,658,256,nc_house_of_representatives_district_120
graham_STEC,532,186,nc_house_of_representatives_district_120
graham_EAST,1055,458,nc_house_of_representatives_district_120
graham_WEST,861,389,nc_house_of_representatives_district_120
graham_TAPO,235,60,nc_house_of_representatives_district_120
macon_11,494,141,nc_house_of_representatives_district_120
macon_8,127,23,nc_house_of_representatives_district_120
macon_2,147,43,nc_house_of_representatives_district_120
macon_5,346,109,nc_house_of_representatives_district_120
macon_10,139,38,nc_house_of_representatives_district_120
macon_ABSENTEE,583,272,nc_house_of_representatives_district_120
macon_13,234,63,nc_house_of_representatives_district_120
macon_3,279,97,nc_house_of_representatives_district_120
macon_9,332,102,nc_house_of_representatives_district_120
macon_6,341,80,nc_house_of_representatives_district_120
macon_OSBOE,7040,2672,nc_house_of_representatives_district_120
macon_4,278,76,nc_house_of_representatives_district_120
macon_1,254,69,nc_house_of_representatives_district_120
macon_14,191,45,nc_house_of_representatives_district_120
macon_15,404,123,nc_house_of_representatives_district_120
macon_12,351,112,nc_house_of_representatives_district_120
macon_OSHOS,760,391,nc_house_of_representatives_district_120
macon_7,329,94,nc_house_of_representatives_district_120
