prec_id,Bryan Fulghum,Tamara Barringer,election
wake_ONESTOP,9674,9578,nc_state_senate_district_17
wake_18-04,391,883,nc_state_senate_district_17
wake_18-06,86,160,nc_state_senate_district_17
wake_43957,711,1095,nc_state_senate_district_17
wake_44174,452,868,nc_state_senate_district_17
wake_44170,652,1505,nc_state_senate_district_17
wake_18-07,273,672,nc_state_senate_district_17
wake_43927,492,670,nc_state_senate_district_17
wake_20-12,302,526,nc_state_senate_district_17
wake_20-14,801,955,nc_state_senate_district_17
wake_43992,279,597,nc_state_senate_district_17
wake_43988,751,1022,nc_state_senate_district_17
wake_43987,370,950,nc_state_senate_district_17
wake_44173,667,741,nc_state_senate_district_17
wake_20-03,425,711,nc_state_senate_district_17
wake_43928,386,897,nc_state_senate_district_17
wake_43933,454,662,nc_state_senate_district_17
wake_20-10,558,756,nc_state_senate_district_17
wake_20-04,567,702,nc_state_senate_district_17
wake_43986,505,539,nc_state_senate_district_17
wake_43991,547,1004,nc_state_senate_district_17
wake_20-08,522,909,nc_state_senate_district_17
wake_20-01,417,473,nc_state_senate_district_17
wake_18-05,724,1261,nc_state_senate_district_17
wake_36586,434,767,nc_state_senate_district_17
wake_43931,486,633,nc_state_senate_district_17
wake_43930,405,618,nc_state_senate_district_17
wake_20-06A,582,748,nc_state_senate_district_17
wake_20-11,457,768,nc_state_senate_district_17
wake_20-13,1234,1420,nc_state_senate_district_17
wake_44166,371,921,nc_state_senate_district_17
wake_18-02,555,1266,nc_state_senate_district_17
wake_18-03,347,634,nc_state_senate_district_17
wake_44171,211,435,nc_state_senate_district_17
wake_20-09,402,644,nc_state_senate_district_17
wake_18-08,585,757,nc_state_senate_district_17
wake_20-05,568,953,nc_state_senate_district_17
wake_20-06B,524,825,nc_state_senate_district_17
wake_44167,627,936,nc_state_senate_district_17
wake_43936,485,547,nc_state_senate_district_17
wake_43990,438,484,nc_state_senate_district_17
wake_43989,503,726,nc_state_senate_district_17
