prec_id,Mike Woodard,Milton Holmes,election
caswell_ANDE,256,332,nc_state_senate_district_22
caswell_HIGH,366,260,nc_state_senate_district_22
caswell_LEAS,259,171,nc_state_senate_district_22
caswell_LOCU,914,439,nc_state_senate_district_22
caswell_MILT,1030,427,nc_state_senate_district_22
caswell_PELH,910,1084,nc_state_senate_district_22
caswell_PROS,207,377,nc_state_senate_district_22
caswell_PROVI,279,284,nc_state_senate_district_22
caswell_STON,618,752,nc_state_senate_district_22
caswell_YANC,1013,535,nc_state_senate_district_22
durham_01,157,14,nc_state_senate_district_22
durham_02,199,44,nc_state_senate_district_22
durham_03,296,58,nc_state_senate_district_22
durham_04,386,68,nc_state_senate_district_22
durham_05,245,54,nc_state_senate_district_22
durham_06,255,45,nc_state_senate_district_22
durham_07,177,40,nc_state_senate_district_22
durham_08,49,5,nc_state_senate_district_22
durham_09,259,57,nc_state_senate_district_22
durham_16,374,146,nc_state_senate_district_22
durham_17,0,0,nc_state_senate_district_22
durham_20,325,40,nc_state_senate_district_22
durham_21,26,8,nc_state_senate_district_22
durham_24,309,283,nc_state_senate_district_22
durham_25,220,286,nc_state_senate_district_22
durham_26,180,286,nc_state_senate_district_22
durham_27,360,199,nc_state_senate_district_22
durham_28,388,594,nc_state_senate_district_22
durham_29,40,100,nc_state_senate_district_22
durham_30-1,241,184,nc_state_senate_district_22
durham_30-2,25,17,nc_state_senate_district_22
durham_31,404,365,nc_state_senate_district_22
durham_32,182,286,nc_state_senate_district_22
durham_33,539,264,nc_state_senate_district_22
durham_34-2,109,44,nc_state_senate_district_22
durham_35.3,667,341,nc_state_senate_district_22
durham_36,402,128,nc_state_senate_district_22
durham_37,626,409,nc_state_senate_district_22
durham_38,439,182,nc_state_senate_district_22
durham_39,435,285,nc_state_senate_district_22
durham_40,200,41,nc_state_senate_district_22
durham_43,838,429,nc_state_senate_district_22
durham_44,377,408,nc_state_senate_district_22
durham_45,488,402,nc_state_senate_district_22
durham_46,42,14,nc_state_senate_district_22
durham_48,294,112,nc_state_senate_district_22
durham_50,575,350,nc_state_senate_district_22
durham_51,684,287,nc_state_senate_district_22
durham_53-1,364,206,nc_state_senate_district_22
durham_53-2,506,324,nc_state_senate_district_22
durham_54,141,68,nc_state_senate_district_22
person_ALVI,827,506,nc_state_senate_district_22
person_BFRK,341,475,nc_state_senate_district_22
person_CUCL,576,589,nc_state_senate_district_22
person_FLRI,1307,1908,nc_state_senate_district_22
person_HLWY,285,367,nc_state_senate_district_22
person_HUML,263,214,nc_state_senate_district_22
person_MTTZ,678,899,nc_state_senate_district_22
person_OLHI,433,633,nc_state_senate_district_22
person_ROX1,1005,327,nc_state_senate_district_22
person_ROX2,724,498,nc_state_senate_district_22
person_ROX3,968,341,nc_state_senate_district_22
person_ROX4,690,330,nc_state_senate_district_22
person_RX1A,712,683,nc_state_senate_district_22
person_WDSD,432,262,nc_state_senate_district_22
