prec_id,Marcus Brandon,election
guilford_FR1,483,nc_house_of_representatives_district_60
guilford_G36,269,nc_house_of_representatives_district_60
guilford_G37,1008,nc_house_of_representatives_district_60
guilford_G43,841,nc_house_of_representatives_district_60
guilford_G48,781,nc_house_of_representatives_district_60
guilford_G49,664,nc_house_of_representatives_district_60
guilford_G50,1118,nc_house_of_representatives_district_60
guilford_G55,1517,nc_house_of_representatives_district_60
guilford_G56,1013,nc_house_of_representatives_district_60
guilford_G57,1192,nc_house_of_representatives_district_60
guilford_G58,1138,nc_house_of_representatives_district_60
guilford_G59,884,nc_house_of_representatives_district_60
guilford_G60,1012,nc_house_of_representatives_district_60
guilford_G61,1241,nc_house_of_representatives_district_60
guilford_G63,834,nc_house_of_representatives_district_60
guilford_G64,1445,nc_house_of_representatives_district_60
guilford_H03,789,nc_house_of_representatives_district_60
guilford_H04,467,nc_house_of_representatives_district_60
guilford_H05,1287,nc_house_of_representatives_district_60
guilford_H06,782,nc_house_of_representatives_district_60
guilford_H07,972,nc_house_of_representatives_district_60
guilford_H08,724,nc_house_of_representatives_district_60
guilford_H09,1249,nc_house_of_representatives_district_60
guilford_H10,1391,nc_house_of_representatives_district_60
guilford_H11,1149,nc_house_of_representatives_district_60
guilford_H12,401,nc_house_of_representatives_district_60
guilford_H17,354,nc_house_of_representatives_district_60
guilford_H18,929,nc_house_of_representatives_district_60
guilford_H19A,739,nc_house_of_representatives_district_60
guilford_JAM4,125,nc_house_of_representatives_district_60
guilford_SUM1,871,nc_house_of_representatives_district_60
guilford_CURBSIDE,61,nc_house_of_representatives_district_60
