prec_id,Larry Kissell,Richard Hudson,Antonio Blue (Write-in),Write-in (miscellaneous),election
anson_ANS,452,286,16,5,us_house_of_representatives_district_8
anson_BURN,351,527,0,0,us_house_of_representatives_district_8
anson_GULL,540,221,12,1,us_house_of_representatives_district_8
anson_LILE,1160,447,46,3,us_house_of_representatives_district_8
anson_MM,803,123,8,2,us_house_of_representatives_district_8
anson_PEAC,334,515,2,1,us_house_of_representatives_district_8
anson_POLK,426,255,2,0,us_house_of_representatives_district_8
anson_W1,1326,333,39,3,us_house_of_representatives_district_8
anson_W2,836,265,26,5,us_house_of_representatives_district_8
anson_W3,1052,524,24,1,us_house_of_representatives_district_8
anson_WS,109,84,1,2,us_house_of_representatives_district_8
cabarrus_01-02,510,1053,0,0,us_house_of_representatives_district_8
cabarrus_01-04,1203,1500,0,0,us_house_of_representatives_district_8
cabarrus_01-06,925,1203,0,0,us_house_of_representatives_district_8
cabarrus_01-07,602,1215,0,0,us_house_of_representatives_district_8
cabarrus_01-08,972,1229,0,0,us_house_of_representatives_district_8
cabarrus_01-09,218,493,0,0,us_house_of_representatives_district_8
cabarrus_01-10,820,1070,0,0,us_house_of_representatives_district_8
cabarrus_02-01,856,1059,0,0,us_house_of_representatives_district_8
cabarrus_02-02,1070,1676,0,0,us_house_of_representatives_district_8
cabarrus_02-03,1449,2188,0,0,us_house_of_representatives_district_8
cabarrus_02-05,1002,1684,0,0,us_house_of_representatives_district_8
cabarrus_02-06,1173,931,0,0,us_house_of_representatives_district_8
cabarrus_02-07,746,1316,0,0,us_house_of_representatives_district_8
cabarrus_04-01,994,878,0,0,us_house_of_representatives_district_8
cabarrus_04-02,932,626,0,0,us_house_of_representatives_district_8
cabarrus_04-03,893,880,0,0,us_house_of_representatives_district_8
cabarrus_04-04,570,405,0,0,us_house_of_representatives_district_8
cabarrus_04-05,474,495,0,0,us_house_of_representatives_district_8
cabarrus_04-06,656,523,0,0,us_house_of_representatives_district_8
cabarrus_04-07,400,743,0,0,us_house_of_representatives_district_8
cabarrus_04-08,384,646,0,0,us_house_of_representatives_district_8
cabarrus_04-09,640,1180,0,0,us_house_of_representatives_district_8
cabarrus_04-10,917,1412,0,0,us_house_of_representatives_district_8
cabarrus_05-00,585,1252,0,0,us_house_of_representatives_district_8
cabarrus_06-00,334,1042,0,0,us_house_of_representatives_district_8
cabarrus_07-00,179,510,0,0,us_house_of_representatives_district_8
cabarrus_08-00,860,1663,0,0,us_house_of_representatives_district_8
cabarrus_09-00,418,1170,0,0,us_house_of_representatives_district_8
cabarrus_10-00,888,2192,0,0,us_house_of_representatives_district_8
cabarrus_11-01,1336,1437,0,0,us_house_of_representatives_district_8
cabarrus_11-02,647,1225,0,0,us_house_of_representatives_district_8
cabarrus_12-01,270,150,0,0,us_house_of_representatives_district_8
cabarrus_12-02,834,341,0,0,us_house_of_representatives_district_8
cabarrus_12-03,633,775,0,0,us_house_of_representatives_district_8
cabarrus_12-04,888,732,0,0,us_house_of_representatives_district_8
cabarrus_12-05,691,783,0,0,us_house_of_representatives_district_8
cabarrus_12-06,570,443,0,0,us_house_of_representatives_district_8
cabarrus_12-07,885,62,0,0,us_house_of_representatives_district_8
cabarrus_12-08,411,394,0,0,us_house_of_representatives_district_8
cabarrus_12-09,516,818,0,0,us_house_of_representatives_district_8
cabarrus_12-10,356,473,0,0,us_house_of_representatives_district_8
cabarrus_12-11,493,522,0,0,us_house_of_representatives_district_8
cabarrus_12-12,543,774,0,0,us_house_of_representatives_district_8
cabarrus_ACCUMULATED,0,0,290,88,us_house_of_representatives_district_8
davidson_08,285,411,0,2,us_house_of_representatives_district_8
davidson_10,549,907,0,0,us_house_of_representatives_district_8
davidson_12,168,368,0,1,us_house_of_representatives_district_8
davidson_14,200,797,0,0,us_house_of_representatives_district_8
davidson_18,239,857,0,0,us_house_of_representatives_district_8
davidson_20,413,1190,0,0,us_house_of_representatives_district_8
davidson_40,703,564,0,1,us_house_of_representatives_district_8
davidson_42,217,1142,0,0,us_house_of_representatives_district_8
davidson_52,862,1699,0,1,us_house_of_representatives_district_8
davidson_54,166,807,0,0,us_house_of_representatives_district_8
davidson_56,177,553,0,1,us_house_of_representatives_district_8
davidson_58,538,1134,0,1,us_house_of_representatives_district_8
davidson_60,973,1554,0,0,us_house_of_representatives_district_8
davidson_66,459,517,0,1,us_house_of_representatives_district_8
davidson_68,569,640,0,2,us_house_of_representatives_district_8
davidson_74,598,1652,0,4,us_house_of_representatives_district_8
davidson_76,444,1534,0,2,us_house_of_representatives_district_8
davidson_CURBSIDE,73,88,0,0,us_house_of_representatives_district_8
mecklenburg_83,1416,601,0,1,us_house_of_representatives_district_8
mecklenburg_95,1047,226,0,2,us_house_of_representatives_district_8
mecklenburg_201,2627,1287,0,5,us_house_of_representatives_district_8
mecklenburg_CURBSIDE,51,20,0,0,us_house_of_representatives_district_8
montgomery_BIS,430,130,24,0,us_house_of_representatives_district_8
montgomery_CAN,446,189,16,0,us_house_of_representatives_district_8
montgomery_CHE,140,171,3,0,us_house_of_representatives_district_8
montgomery_ELD,150,328,0,0,us_house_of_representatives_district_8
montgomery_LIT,136,124,1,0,us_house_of_representatives_district_8
montgomery_MTG,661,176,49,1,us_house_of_representatives_district_8
montgomery_OPH,83,85,0,1,us_house_of_representatives_district_8
montgomery_PEE,169,263,0,0,us_house_of_representatives_district_8
montgomery_ROC,238,78,30,1,us_house_of_representatives_district_8
montgomery_STA,429,270,1,0,us_house_of_representatives_district_8
montgomery_T1,396,213,21,1,us_house_of_representatives_district_8
montgomery_T2,246,158,17,1,us_house_of_representatives_district_8
montgomery_UWH,213,271,1,1,us_house_of_representatives_district_8
montgomery_WAD,155,79,4,0,us_house_of_representatives_district_8
randolph_16,199,606,0,1,us_house_of_representatives_district_8
randolph_18,157,557,0,0,us_house_of_representatives_district_8
randolph_24,112,294,0,0,us_house_of_representatives_district_8
randolph_36,146,665,0,2,us_house_of_representatives_district_8
richmond_01,683,291,0,0,us_house_of_representatives_district_8
richmond_02,593,609,0,0,us_house_of_representatives_district_8
richmond_03,113,152,0,0,us_house_of_representatives_district_8
richmond_04,291,183,0,0,us_house_of_representatives_district_8
richmond_05,71,81,0,0,us_house_of_representatives_district_8
richmond_06,190,239,0,0,us_house_of_representatives_district_8
richmond_07,159,103,0,0,us_house_of_representatives_district_8
richmond_08,551,305,0,0,us_house_of_representatives_district_8
richmond_09,726,686,0,0,us_house_of_representatives_district_8
richmond_10,268,78,0,0,us_house_of_representatives_district_8
richmond_11,164,157,0,0,us_house_of_representatives_district_8
richmond_12,249,242,0,0,us_house_of_representatives_district_8
richmond_13,172,177,0,0,us_house_of_representatives_district_8
richmond_14,71,9,0,0,us_house_of_representatives_district_8
richmond_15,35,40,0,0,us_house_of_representatives_district_8
richmond_16,43,97,0,0,us_house_of_representatives_district_8
richmond_ACCUMULATED,0,0,1925,162,us_house_of_representatives_district_8
robeson_01,234,106,0,0,us_house_of_representatives_district_8
robeson_02,447,118,0,0,us_house_of_representatives_district_8
robeson_03,225,395,0,0,us_house_of_representatives_district_8
robeson_04,473,195,0,0,us_house_of_representatives_district_8
robeson_05,497,195,0,0,us_house_of_representatives_district_8
robeson_06,192,39,0,0,us_house_of_representatives_district_8
robeson_07,285,77,0,0,us_house_of_representatives_district_8
robeson_08,226,361,0,0,us_house_of_representatives_district_8
