prec_id,Phillip Shepard,election
onslow_CR07,725,nc_house_of_representatives_district_15
onslow_FS16,897,nc_house_of_representatives_district_15
onslow_HM05,153,nc_house_of_representatives_district_15
onslow_HR17,484,nc_house_of_representatives_district_15
onslow_JA01,582,nc_house_of_representatives_district_15
onslow_NR02,136,nc_house_of_representatives_district_15
onslow_SF18,1133,nc_house_of_representatives_district_15
onslow_TL06,455,nc_house_of_representatives_district_15
onslow_VR15,409,nc_house_of_representatives_district_15
onslow_WN04,790,nc_house_of_representatives_district_15
