prec_id,Edgar V. Starnes,election
caldwell_PR01,446,nc_house_of_representatives_district_87
caldwell_PR02,291,nc_house_of_representatives_district_87
caldwell_PR05,498,nc_house_of_representatives_district_87
caldwell_PR06,394,nc_house_of_representatives_district_87
caldwell_PR07,432,nc_house_of_representatives_district_87
caldwell_PR08,288,nc_house_of_representatives_district_87
caldwell_PR13,670,nc_house_of_representatives_district_87
caldwell_PR14,365,nc_house_of_representatives_district_87
caldwell_PR15,513,nc_house_of_representatives_district_87
caldwell_PR16,189,nc_house_of_representatives_district_87
caldwell_PR17,303,nc_house_of_representatives_district_87
caldwell_PR18,530,nc_house_of_representatives_district_87
caldwell_PR21,592,nc_house_of_representatives_district_87
caldwell_PR22,568,nc_house_of_representatives_district_87
caldwell_PR24,295,nc_house_of_representatives_district_87
caldwell_PR25,335,nc_house_of_representatives_district_87
caldwell_PR28,535,nc_house_of_representatives_district_87
caldwell_PR29,323,nc_house_of_representatives_district_87
caldwell_PR30,249,nc_house_of_representatives_district_87
caldwell_PR31,168,nc_house_of_representatives_district_87
caldwell_PR32,573,nc_house_of_representatives_district_87
caldwell_ACCUMULATED,0,nc_house_of_representatives_district_87
