prec_id,Gene McLaurin,Gene McIntyre,election
anson_ANS,497,237,nc_state_senate_district_25
anson_BURN,357,496,nc_state_senate_district_25
anson_GULL,584,179,nc_state_senate_district_25
anson_LILE,1290,351,nc_state_senate_district_25
anson_MM,819,108,nc_state_senate_district_25
anson_PEAC,352,470,nc_state_senate_district_25
anson_POLK,448,217,nc_state_senate_district_25
anson_W1,1388,307,nc_state_senate_district_25
anson_W2,908,215,nc_state_senate_district_25
anson_W3,1162,418,nc_state_senate_district_25
anson_WS,117,76,nc_state_senate_district_25
richmond_01,919,163,nc_state_senate_district_25
richmond_02,937,322,nc_state_senate_district_25
richmond_03,194,77,nc_state_senate_district_25
richmond_04,359,125,nc_state_senate_district_25
richmond_05,108,44,nc_state_senate_district_25
richmond_06,289,149,nc_state_senate_district_25
richmond_07,222,81,nc_state_senate_district_25
richmond_08,813,174,nc_state_senate_district_25
richmond_09,1059,427,nc_state_senate_district_25
richmond_10,291,73,nc_state_senate_district_25
richmond_11,257,78,nc_state_senate_district_25
richmond_12,324,184,nc_state_senate_district_25
richmond_13,219,131,nc_state_senate_district_25
richmond_14,75,11,nc_state_senate_district_25
richmond_15,42,37,nc_state_senate_district_25
richmond_16,72,65,nc_state_senate_district_25
richmond_ACCUMULATED,0,0,nc_state_senate_district_25
rowan_01,213,940,nc_state_senate_district_25
rowan_03,304,1274,nc_state_senate_district_25
rowan_05A,749,1856,nc_state_senate_district_25
rowan_13,235,999,nc_state_senate_district_25
rowan_22,109,430,nc_state_senate_district_25
rowan_23,214,754,nc_state_senate_district_25
rowan_25,463,1749,nc_state_senate_district_25
rowan_26,228,926,nc_state_senate_district_25
rowan_33,184,963,nc_state_senate_district_25
scotland_1,1634,191,nc_state_senate_district_25
scotland_2,1056,196,nc_state_senate_district_25
scotland_3,1183,768,nc_state_senate_district_25
scotland_4,1374,1104,nc_state_senate_district_25
scotland_5,391,437,nc_state_senate_district_25
scotland_6,233,100,nc_state_senate_district_25
scotland_7,1418,541,nc_state_senate_district_25
scotland_8,385,355,nc_state_senate_district_25
scotland_9,596,462,nc_state_senate_district_25
scotland_10,711,431,nc_state_senate_district_25
stanly_0002,108,147,nc_state_senate_district_25
stanly_0003,262,218,nc_state_senate_district_25
stanly_0007,201,241,nc_state_senate_district_25
stanly_0008,437,36,nc_state_senate_district_25
stanly_0010,186,240,nc_state_senate_district_25
stanly_0011,119,204,nc_state_senate_district_25
stanly_0012,68,139,nc_state_senate_district_25
stanly_0013,141,278,nc_state_senate_district_25
stanly_0014,135,195,nc_state_senate_district_25
stanly_0015,270,198,nc_state_senate_district_25
stanly_0016,150,198,nc_state_senate_district_25
stanly_0017,155,324,nc_state_senate_district_25
stanly_0018,146,287,nc_state_senate_district_25
stanly_0019,148,414,nc_state_senate_district_25
stanly_0020,158,545,nc_state_senate_district_25
stanly_0021,81,317,nc_state_senate_district_25
stanly_0022,247,448,nc_state_senate_district_25
stanly_0023,187,677,nc_state_senate_district_25
stanly_0024,140,502,nc_state_senate_district_25
stanly_0025,204,710,nc_state_senate_district_25
stanly_0026,220,342,nc_state_senate_district_25
stanly_0027,216,355,nc_state_senate_district_25
stanly_0028,172,158,nc_state_senate_district_25
