prec_id,Sig Hutchinson,Neal Hunt,election
wake_43833,348,559,nc_state_senate_district_15
wake_43834,242,291,nc_state_senate_district_15
wake_43835,195,346,nc_state_senate_district_15
wake_43840,330,375,nc_state_senate_district_15
wake_43841,240,683,nc_state_senate_district_15
wake_43842,386,342,nc_state_senate_district_15
wake_43845,249,296,nc_state_senate_district_15
wake_43847,187,280,nc_state_senate_district_15
wake_43848,281,406,nc_state_senate_district_15
wake_43859,355,584,nc_state_senate_district_15
wake_43860,256,352,nc_state_senate_district_15
wake_13150,226,470,nc_state_senate_district_15
wake_13516,318,412,nc_state_senate_district_15
wake_14246,400,293,nc_state_senate_district_15
wake_15342,300,532,nc_state_senate_district_15
wake_15707,171,229,nc_state_senate_district_15
wake_16438,274,333,nc_state_senate_district_15
wake_17168,322,526,nc_state_senate_district_15
wake_18629,226,246,nc_state_senate_district_15
wake_43862,426,726,nc_state_senate_district_15
wake_43863,612,1327,nc_state_senate_district_15
wake_43864,360,857,nc_state_senate_district_15
wake_43865,251,603,nc_state_senate_district_15
wake_43866,163,315,nc_state_senate_district_15
wake_43867,218,617,nc_state_senate_district_15
wake_44015,247,329,nc_state_senate_district_15
wake_44016,753,596,nc_state_senate_district_15
wake_44017,300,321,nc_state_senate_district_15
wake_44018,424,682,nc_state_senate_district_15
wake_44019,564,698,nc_state_senate_district_15
wake_07-07A,184,203,nc_state_senate_district_15
wake_44021,485,486,nc_state_senate_district_15
wake_44023,191,257,nc_state_senate_district_15
wake_44025,260,276,nc_state_senate_district_15
wake_44045,531,755,nc_state_senate_district_15
wake_44046,685,888,nc_state_senate_district_15
wake_44047,265,488,nc_state_senate_district_15
wake_44048,327,432,nc_state_senate_district_15
wake_44050,341,658,nc_state_senate_district_15
wake_44051,581,938,nc_state_senate_district_15
wake_44052,358,404,nc_state_senate_district_15
wake_44053,438,453,nc_state_senate_district_15
wake_44054,693,701,nc_state_senate_district_15
wake_13-02,337,469,nc_state_senate_district_15
wake_13-05,58,100,nc_state_senate_district_15
wake_13-06,439,545,nc_state_senate_district_15
wake_13-10,1066,1189,nc_state_senate_district_15
wake_13-11,448,700,nc_state_senate_district_15
wake_14-01,97,300,nc_state_senate_district_15
wake_14-02,489,1535,nc_state_senate_district_15
wake_19-03,380,745,nc_state_senate_district_15
wake_19-05,279,878,nc_state_senate_district_15
wake_19-11,341,575,nc_state_senate_district_15
wake_19-12,506,924,nc_state_senate_district_15
wake_19-13,331,445,nc_state_senate_district_15
wake_19-14,281,607,nc_state_senate_district_15
wake_19-15,271,500,nc_state_senate_district_15
