prec_id,Ron Weatherford,John Faircloth,election
guilford_H01,718,353,nc_house_of_representatives_district_61
guilford_H02,408,638,nc_house_of_representatives_district_61
guilford_H03,54,53,nc_house_of_representatives_district_61
guilford_H04,502,490,nc_house_of_representatives_district_61
guilford_H06,418,535,nc_house_of_representatives_district_61
guilford_H12,261,220,nc_house_of_representatives_district_61
guilford_H13,445,882,nc_house_of_representatives_district_61
guilford_H14,214,893,nc_house_of_representatives_district_61
guilford_H15,594,702,nc_house_of_representatives_district_61
guilford_H16,330,571,nc_house_of_representatives_district_61
guilford_H17,227,165,nc_house_of_representatives_district_61
guilford_H18,134,103,nc_house_of_representatives_district_61
guilford_H19A,107,45,nc_house_of_representatives_district_61
guilford_H19B,265,350,nc_house_of_representatives_district_61
guilford_H20A,434,490,nc_house_of_representatives_district_61
guilford_H20B,286,555,nc_house_of_representatives_district_61
guilford_H21,373,651,nc_house_of_representatives_district_61
guilford_H22,386,453,nc_house_of_representatives_district_61
guilford_H23,333,746,nc_house_of_representatives_district_61
guilford_H24,618,1057,nc_house_of_representatives_district_61
guilford_H25,848,1776,nc_house_of_representatives_district_61
guilford_H26,533,888,nc_house_of_representatives_district_61
guilford_H27-A,688,1049,nc_house_of_representatives_district_61
guilford_H27-B,416,701,nc_house_of_representatives_district_61
guilford_H28,1022,955,nc_house_of_representatives_district_61
guilford_H29A,253,119,nc_house_of_representatives_district_61
guilford_JAM1,682,1352,nc_house_of_representatives_district_61
guilford_JAM2,346,630,nc_house_of_representatives_district_61
guilford_JAM3,531,907,nc_house_of_representatives_district_61
guilford_JAM4,328,1071,nc_house_of_representatives_district_61
guilford_JAM5,191,782,nc_house_of_representatives_district_61
guilford_PG2,475,1511,nc_house_of_representatives_district_61
guilford_SDRI,775,2085,nc_house_of_representatives_district_61
guilford_SUM1,220,344,nc_house_of_representatives_district_61
guilford_SUM2,137,423,nc_house_of_representatives_district_61
guilford_SUM3,189,682,nc_house_of_representatives_district_61
guilford_SUM4,219,1199,nc_house_of_representatives_district_61
guilford_CURBSIDE,15,23,nc_house_of_representatives_district_61
