prec_id,Jean Farmer Butterfield,election
pitt_0301,585,nc_house_of_representatives_district_24
pitt_0401,526,nc_house_of_representatives_district_24
pitt_0501,28,nc_house_of_representatives_district_24
pitt_0701,270,nc_house_of_representatives_district_24
pitt_0901,241,nc_house_of_representatives_district_24
pitt_1201,112,nc_house_of_representatives_district_24
pitt_1501,187,nc_house_of_representatives_district_24
pitt_1503,468,nc_house_of_representatives_district_24
pitt_1504A,421,nc_house_of_representatives_district_24
pitt_1504B,445,nc_house_of_representatives_district_24
pitt_1505A,358,nc_house_of_representatives_district_24
pitt_1505B,495,nc_house_of_representatives_district_24
pitt_1506,268,nc_house_of_representatives_district_24
pitt_1508A,40,nc_house_of_representatives_district_24
pitt_1509,17,nc_house_of_representatives_district_24
pitt_1512A,328,nc_house_of_representatives_district_24
pitt_1512B,116,nc_house_of_representatives_district_24
wilson_PRGA,1085,nc_house_of_representatives_district_24
wilson_PRSA,446,nc_house_of_representatives_district_24
wilson_PRWA,615,nc_house_of_representatives_district_24
wilson_PRWB,804,nc_house_of_representatives_district_24
wilson_PRWC,1044,nc_house_of_representatives_district_24
wilson_PRWD,109,nc_house_of_representatives_district_24
wilson_PRWE,825,nc_house_of_representatives_district_24
wilson_PRWH,649,nc_house_of_representatives_district_24
wilson_PRWI,1026,nc_house_of_representatives_district_24
wilson_PRWJ,585,nc_house_of_representatives_district_24
wilson_PRWM,590,nc_house_of_representatives_district_24
wilson_PRWN,1704,nc_house_of_representatives_district_24
wilson_PRWQ,483,nc_house_of_representatives_district_24
wilson_PRWR,1152,nc_house_of_representatives_district_24
wilson_CURBSIDE,284,nc_house_of_representatives_district_24
