prec_id,Mark Brown,Mike Hager,election
burke_0029-A,176,497,nc_house_of_representatives_district_112
burke_0029-B,236,426,nc_house_of_representatives_district_112
burke_0053,444,765,nc_house_of_representatives_district_112
burke_0064,189,306,nc_house_of_representatives_district_112
burke_0065,206,424,nc_house_of_representatives_district_112
rutherford_03A,308,965,nc_house_of_representatives_district_112
rutherford_04A,426,884,nc_house_of_representatives_district_112
rutherford_05A,553,927,nc_house_of_representatives_district_112
rutherford_06A,550,807,nc_house_of_representatives_district_112
rutherford_09A,581,1398,nc_house_of_representatives_district_112
rutherford_10A,156,545,nc_house_of_representatives_district_112
rutherford_11,992,2169,nc_house_of_representatives_district_112
rutherford_13,1407,1083,nc_house_of_representatives_district_112
rutherford_14,759,717,nc_house_of_representatives_district_112
rutherford_16A,492,1039,nc_house_of_representatives_district_112
rutherford_18,489,793,nc_house_of_representatives_district_112
rutherford_19,385,719,nc_house_of_representatives_district_112
rutherford_27,927,1309,nc_house_of_representatives_district_112
rutherford_28,385,547,nc_house_of_representatives_district_112
rutherford_29,479,673,nc_house_of_representatives_district_112
rutherford_30,1089,945,nc_house_of_representatives_district_112
rutherford_34,269,589,nc_house_of_representatives_district_112
rutherford_CURBSIDE,167,172,nc_house_of_representatives_district_112
