prec_id,Eddie Dees,John Szoka,election
cumberland_AL51,1101,1551,nc_house_of_representatives_district_45
cumberland_G6B,324,466,nc_house_of_representatives_district_45
cumberland_G7A,290,553,nc_house_of_representatives_district_45
cumberland_G6C,407,603,nc_house_of_representatives_district_45
cumberland_G2C-2,15,8,nc_house_of_representatives_district_45
cumberland_EO61-1,195,452,nc_house_of_representatives_district_45
cumberland_EO61-2,44,152,nc_house_of_representatives_district_45
cumberland_G9B-1,1205,992,nc_house_of_representatives_district_45
cumberland_G9B-2,878,940,nc_house_of_representatives_district_45
cumberland_G9A,370,520,nc_house_of_representatives_district_45
cumberland_G10B,852,695,nc_house_of_representatives_district_45
cumberland_G1B,44,88,nc_house_of_representatives_district_45
cumberland_LI65,784,1169,nc_house_of_representatives_district_45
cumberland_G2D,732,833,nc_house_of_representatives_district_45
cumberland_G11B,703,600,nc_house_of_representatives_district_45
cumberland_G3C,53,45,nc_house_of_representatives_district_45
cumberland_SH77,688,803,nc_house_of_representatives_district_45
cumberland_G11A-1,169,94,nc_house_of_representatives_district_45
cumberland_G11A-2,248,138,nc_house_of_representatives_district_45
cumberland_G6A,881,1543,nc_house_of_representatives_district_45
cumberland_G10C,678,1094,nc_house_of_representatives_district_45
cumberland_G10A,821,1320,nc_house_of_representatives_district_45
cumberland_G7B,248,521,nc_house_of_representatives_district_45
cumberland_G2E-1,137,76,nc_house_of_representatives_district_45
