prec_id,Rick Glazier,Richard D. Button,election
cumberland_AH49,135,91,nc_house_of_representatives_district_44
cumberland_CC03,71,38,nc_house_of_representatives_district_44
cumberland_CC04,312,224,nc_house_of_representatives_district_44
cumberland_CC06,327,317,nc_house_of_representatives_district_44
cumberland_CC07,380,355,nc_house_of_representatives_district_44
cumberland_CC08,323,441,nc_house_of_representatives_district_44
cumberland_CC10,499,247,nc_house_of_representatives_district_44
cumberland_G3B,362,221,nc_house_of_representatives_district_44
cumberland_CC12,527,647,nc_house_of_representatives_district_44
cumberland_CC14,918,831,nc_house_of_representatives_district_44
cumberland_CC15,833,830,nc_house_of_representatives_district_44
cumberland_CC18,527,539,nc_house_of_representatives_district_44
cumberland_G4B,621,551,nc_house_of_representatives_district_44
cumberland_CC24,437,328,nc_house_of_representatives_district_44
cumberland_CC25,439,332,nc_house_of_representatives_district_44
cumberland_CC26,496,322,nc_house_of_representatives_district_44
cumberland_CC27,313,152,nc_house_of_representatives_district_44
cumberland_G5B-1,220,45,nc_house_of_representatives_district_44
cumberland_CC29,307,208,nc_house_of_representatives_district_44
cumberland_G4A,612,377,nc_house_of_representatives_district_44
cumberland_CC31,480,367,nc_house_of_representatives_district_44
cumberland_CC32,68,30,nc_house_of_representatives_district_44
cumberland_CC34,655,668,nc_house_of_representatives_district_44
cumberland_G8B,641,584,nc_house_of_representatives_district_44
cumberland_CU02,747,509,nc_house_of_representatives_district_44
cumberland_G8C,949,466,nc_house_of_representatives_district_44
cumberland_G8A,697,392,nc_house_of_representatives_district_44
cumberland_G8D,911,855,nc_house_of_representatives_district_44
cumberland_MR02,424,262,nc_house_of_representatives_district_44
cumberland_G3A-1,15,6,nc_house_of_representatives_district_44
cumberland_G3A-2,838,487,nc_house_of_representatives_district_44
cumberland_G3C,247,287,nc_house_of_representatives_district_44
cumberland_G4C,752,267,nc_house_of_representatives_district_44
cumberland_G10A,230,165,nc_house_of_representatives_district_44
