prec_id,Rosa U. Gill,election
wake_43844,64,nc_house_of_representatives_district_33
wake_43850,481,nc_house_of_representatives_district_33
wake_43851,817,nc_house_of_representatives_district_33
wake_43852,765,nc_house_of_representatives_district_33
wake_43853,719,nc_house_of_representatives_district_33
wake_43855,55,nc_house_of_representatives_district_33
wake_43856,473,nc_house_of_representatives_district_33
wake_43857,282,nc_house_of_representatives_district_33
wake_43861,254,nc_house_of_representatives_district_33
wake_12785,481,nc_house_of_representatives_district_33
wake_18264,544,nc_house_of_representatives_district_33
wake_16-01,10,nc_house_of_representatives_district_33
wake_16-02,941,nc_house_of_representatives_district_33
wake_16-03,245,nc_house_of_representatives_district_33
wake_16-04,217,nc_house_of_representatives_district_33
wake_16-06,181,nc_house_of_representatives_district_33
wake_16-08,1176,nc_house_of_representatives_district_33
wake_16-09,99,nc_house_of_representatives_district_33
wake_17-07,191,nc_house_of_representatives_district_33
wake_17-09,721,nc_house_of_representatives_district_33
wake_18-01,274,nc_house_of_representatives_district_33
wake_18-04,72,nc_house_of_representatives_district_33
