prec_id,Chris Millis,election
onslow_CL10,543,nc_house_of_representatives_district_16
onslow_GB12,515,nc_house_of_representatives_district_16
onslow_HN14,458,nc_house_of_representatives_district_16
onslow_NM13,383,nc_house_of_representatives_district_16
onslow_RL09,747,nc_house_of_representatives_district_16
pender_NB01,702,nc_house_of_representatives_district_16
pender_SB02,1126,nc_house_of_representatives_district_16
pender_CT03,79,nc_house_of_representatives_district_16
pender_CS04,353,nc_house_of_representatives_district_16
pender_CL05,399,nc_house_of_representatives_district_16
pender_GR06,444,nc_house_of_representatives_district_16
pender_MH07,189,nc_house_of_representatives_district_16
pender_UH08,175,nc_house_of_representatives_district_16
pender_LC09,640,nc_house_of_representatives_district_16
pender_PL10,211,nc_house_of_representatives_district_16
pender_CF11,1224,nc_house_of_representatives_district_16
pender_SH12,962,nc_house_of_representatives_district_16
pender_SC13,1340,nc_house_of_representatives_district_16
pender_UT14,1802,nc_house_of_representatives_district_16
pender_SP15,1294,nc_house_of_representatives_district_16
pender_LU16,485,nc_house_of_representatives_district_16
pender_UU17,363,nc_house_of_representatives_district_16
pender_LT18,1521,nc_house_of_representatives_district_16
pender_MT19,1341,nc_house_of_representatives_district_16
pender_RP20,623,nc_house_of_representatives_district_16
pender_CURBSIDE,52,nc_house_of_representatives_district_16
