prec_id,William Stinson,Mark W. Hollo,election
alexander_B1,403,1620,nc_house_of_representatives_district_73
alexander_B2,510,1714,nc_house_of_representatives_district_73
alexander_E,494,1151,nc_house_of_representatives_district_73
alexander_G1,111,370,nc_house_of_representatives_district_73
alexander_G2,223,370,nc_house_of_representatives_district_73
alexander_L,209,571,nc_house_of_representatives_district_73
alexander_M,309,779,nc_house_of_representatives_district_73
alexander_S1,381,909,nc_house_of_representatives_district_73
alexander_S2,216,375,nc_house_of_representatives_district_73
alexander_SL,121,486,nc_house_of_representatives_district_73
alexander_T1,227,691,nc_house_of_representatives_district_73
alexander_T2,380,618,nc_house_of_representatives_district_73
alexander_T3,274,573,nc_house_of_representatives_district_73
alexander_T4,383,603,nc_house_of_representatives_district_73
alexander_T5,163,466,nc_house_of_representatives_district_73
alexander_W,238,907,nc_house_of_representatives_district_73
wilkes_103,55,163,nc_house_of_representatives_district_73
wilkes_122,48,311,nc_house_of_representatives_district_73
wilkes_128,0,2,nc_house_of_representatives_district_73
yadkin_BNVL,598,683,nc_house_of_representatives_district_73
yadkin_DCRK,181,515,nc_house_of_representatives_district_73
yadkin_EBND,391,658,nc_house_of_representatives_district_73
yadkin_FBSH,322,951,nc_house_of_representatives_district_73
yadkin_NBCK,180,487,nc_house_of_representatives_district_73
yadkin_NFAL,134,414,nc_house_of_representatives_district_73
yadkin_NKNB,439,828,nc_house_of_representatives_district_73
yadkin_NLIB,348,698,nc_house_of_representatives_district_73
yadkin_SBCK,137,293,nc_house_of_representatives_district_73
yadkin_SFAL,171,537,nc_house_of_representatives_district_73
yadkin_SKNB,113,467,nc_house_of_representatives_district_73
yadkin_SLIB,215,697,nc_house_of_representatives_district_73
