prec_id,Tricia Cotham,election
mecklenburg_2,237,nc_house_of_representatives_district_100
mecklenburg_5,831,nc_house_of_representatives_district_100
mecklenburg_6,963,nc_house_of_representatives_district_100
mecklenburg_15,1355,nc_house_of_representatives_district_100
mecklenburg_17,207,nc_house_of_representatives_district_100
mecklenburg_29,1030,nc_house_of_representatives_district_100
mecklenburg_30,888,nc_house_of_representatives_district_100
mecklenburg_33,978,nc_house_of_representatives_district_100
mecklenburg_34,1186,nc_house_of_representatives_district_100
mecklenburg_44,799,nc_house_of_representatives_district_100
mecklenburg_45,833,nc_house_of_representatives_district_100
mecklenburg_46,1393,nc_house_of_representatives_district_100
mecklenburg_61,547,nc_house_of_representatives_district_100
mecklenburg_62,1166,nc_house_of_representatives_district_100
mecklenburg_63,1193,nc_house_of_representatives_district_100
mecklenburg_64,169,nc_house_of_representatives_district_100
mecklenburg_85,360,nc_house_of_representatives_district_100
mecklenburg_94,874,nc_house_of_representatives_district_100
mecklenburg_99,1245,nc_house_of_representatives_district_100
mecklenburg_102,1409,nc_house_of_representatives_district_100
mecklenburg_109,1079,nc_house_of_representatives_district_100
mecklenburg_115,797,nc_house_of_representatives_district_100
mecklenburg_117,1174,nc_house_of_representatives_district_100
mecklenburg_125,718,nc_house_of_representatives_district_100
mecklenburg_130,901,nc_house_of_representatives_district_100
mecklenburg_217,307,nc_house_of_representatives_district_100
mecklenburg_235,422,nc_house_of_representatives_district_100
mecklenburg_CURBSIDE,211,nc_house_of_representatives_district_100
