prec_id,Tim Moore,election
cleveland_B SPGS,1957,nc_house_of_representatives_district_111
cleveland_BETHWR,910,nc_house_of_representatives_district_111
cleveland_CASAR,732,nc_house_of_representatives_district_111
cleveland_FALSTN,832,nc_house_of_representatives_district_111
cleveland_GROVER,1441,nc_house_of_representatives_district_111
cleveland_H SPGS,339,nc_house_of_representatives_district_111
cleveland_KINGST,257,nc_house_of_representatives_district_111
cleveland_KM N,1984,nc_house_of_representatives_district_111
cleveland_KM S,1829,nc_house_of_representatives_district_111
cleveland_LATT,1335,nc_house_of_representatives_district_111
cleveland_LAWNDL,620,nc_house_of_representatives_district_111
cleveland_MRB-YO,726,nc_house_of_representatives_district_111
cleveland_MULLS,968,nc_house_of_representatives_district_111
cleveland_OAKGRV,1690,nc_house_of_representatives_district_111
cleveland_POLKVL,1127,nc_house_of_representatives_district_111
cleveland_RIPPY,1551,nc_house_of_representatives_district_111
cleveland_S 3,589,nc_house_of_representatives_district_111
cleveland_S 6,1068,nc_house_of_representatives_district_111
cleveland_S 7,1192,nc_house_of_representatives_district_111
cleveland_SHANGI,1294,nc_house_of_representatives_district_111
