prec_id,Kelly Alexander,election
mecklenburg_11,1029,nc_house_of_representatives_district_107
mecklenburg_14,439,nc_house_of_representatives_district_107
mecklenburg_16,2158,nc_house_of_representatives_district_107
mecklenburg_25,1642,nc_house_of_representatives_district_107
mecklenburg_27,947,nc_house_of_representatives_district_107
mecklenburg_30,377,nc_house_of_representatives_district_107
mecklenburg_54,1762,nc_house_of_representatives_district_107
mecklenburg_55,1108,nc_house_of_representatives_district_107
mecklenburg_56,881,nc_house_of_representatives_district_107
mecklenburg_128,1381,nc_house_of_representatives_district_107
mecklenburg_141,242,nc_house_of_representatives_district_107
mecklenburg_151,2025,nc_house_of_representatives_district_107
mecklenburg_210,3810,nc_house_of_representatives_district_107
mecklenburg_211,1551,nc_house_of_representatives_district_107
mecklenburg_212,4968,nc_house_of_representatives_district_107
mecklenburg_214,1708,nc_house_of_representatives_district_107
mecklenburg_237,2080,nc_house_of_representatives_district_107
mecklenburg_238.1,1416,nc_house_of_representatives_district_107
mecklenburg_239,577,nc_house_of_representatives_district_107
mecklenburg_CURBSIDE,1068,nc_house_of_representatives_district_107
