prec_id,Myra Slone,Trudy Wade,election
guilford_FEN1,266,469,nc_state_senate_district_27
guilford_FEN2,424,1024,nc_state_senate_district_27
guilford_FR1,828,603,nc_state_senate_district_27
guilford_FR2,657,1003,nc_state_senate_district_27
guilford_FR4,366,742,nc_state_senate_district_27
guilford_FR5A,564,864,nc_state_senate_district_27
guilford_FR5B,348,693,nc_state_senate_district_27
guilford_G13,689,375,nc_state_senate_district_27
guilford_G15,622,405,nc_state_senate_district_27
guilford_G16,524,671,nc_state_senate_district_27
guilford_G17,602,719,nc_state_senate_district_27
guilford_G33,530,855,nc_state_senate_district_27
guilford_G34,608,835,nc_state_senate_district_27
guilford_G35,470,499,nc_state_senate_district_27
guilford_G36,729,643,nc_state_senate_district_27
guilford_G38,965,785,nc_state_senate_district_27
guilford_G39,714,498,nc_state_senate_district_27
guilford_G41A,563,520,nc_state_senate_district_27
guilford_G41B,507,765,nc_state_senate_district_27
guilford_G42A,652,867,nc_state_senate_district_27
guilford_G42B,204,240,nc_state_senate_district_27
guilford_G43,432,149,nc_state_senate_district_27
guilford_G61,52,52,nc_state_senate_district_27
guilford_G64,30,36,nc_state_senate_district_27
guilford_G65,998,741,nc_state_senate_district_27
guilford_G66,841,949,nc_state_senate_district_27
guilford_GIB,759,849,nc_state_senate_district_27
guilford_GR,356,1314,nc_state_senate_district_27
guilford_H01,732,336,nc_state_senate_district_27
guilford_H02,444,595,nc_state_senate_district_27
guilford_H03,439,170,nc_state_senate_district_27
guilford_H04,967,547,nc_state_senate_district_27
guilford_H06,1145,798,nc_state_senate_district_27
guilford_H12,653,290,nc_state_senate_district_27
guilford_H13,526,793,nc_state_senate_district_27
guilford_H14,268,833,nc_state_senate_district_27
guilford_H15,648,643,nc_state_senate_district_27
guilford_H16,389,509,nc_state_senate_district_27
guilford_H17,569,266,nc_state_senate_district_27
guilford_H20A,442,479,nc_state_senate_district_27
guilford_H20B,312,528,nc_state_senate_district_27
guilford_H21,403,625,nc_state_senate_district_27
guilford_H22,396,446,nc_state_senate_district_27
guilford_H23,364,706,nc_state_senate_district_27
guilford_H24,678,1002,nc_state_senate_district_27
guilford_H25,929,1695,nc_state_senate_district_27
guilford_H26,584,835,nc_state_senate_district_27
guilford_H27-A,726,999,nc_state_senate_district_27
guilford_H27-B,451,666,nc_state_senate_district_27
guilford_JAM1,724,1338,nc_state_senate_district_27
guilford_JAM2,530,799,nc_state_senate_district_27
guilford_JAM3,535,927,nc_state_senate_district_27
guilford_JAM4,412,1261,nc_state_senate_district_27
guilford_JAM5,222,764,nc_state_senate_district_27
guilford_JEF1,735,1074,nc_state_senate_district_27
guilford_JEF2,936,638,nc_state_senate_district_27
guilford_JEF3,11,38,nc_state_senate_district_27
guilford_JEF4,541,755,nc_state_senate_district_27
guilford_MON1,971,625,nc_state_senate_district_27
guilford_MON2A,486,310,nc_state_senate_district_27
guilford_MON2B,749,455,nc_state_senate_district_27
guilford_NCLAY1,612,1248,nc_state_senate_district_27
guilford_NCLAY2,286,785,nc_state_senate_district_27
guilford_NMAD,564,748,nc_state_senate_district_27
guilford_NWASH,164,753,nc_state_senate_district_27
guilford_PG1,301,639,nc_state_senate_district_27
guilford_PG2,474,1535,nc_state_senate_district_27
guilford_RC1,1055,1097,nc_state_senate_district_27
guilford_RC2,1083,1428,nc_state_senate_district_27
guilford_SCLAY,310,1174,nc_state_senate_district_27
guilford_SDRI,862,2001,nc_state_senate_district_27
guilford_SMAD,764,1067,nc_state_senate_district_27
guilford_SUM1,403,549,nc_state_senate_district_27
guilford_SUM2,152,423,nc_state_senate_district_27
guilford_SUM3,185,700,nc_state_senate_district_27
guilford_SUM4,234,1204,nc_state_senate_district_27
guilford_SWASH,140,490,nc_state_senate_district_27
guilford_CURBSIDE,35,64,nc_state_senate_district_27
