prec_id,Josh Stein,election
wake_43831,490,nc_state_senate_district_16
wake_43832,575,nc_state_senate_district_16
wake_43836,654,nc_state_senate_district_16
wake_43837,431,nc_state_senate_district_16
wake_01-07A,103,nc_state_senate_district_16
wake_43839,402,nc_state_senate_district_16
wake_43843,409,nc_state_senate_district_16
wake_43844,796,nc_state_senate_district_16
wake_43846,607,nc_state_senate_district_16
wake_43851,774,nc_state_senate_district_16
wake_43853,709,nc_state_senate_district_16
wake_43857,218,nc_state_senate_district_16
wake_43858,80,nc_state_senate_district_16
wake_43861,894,nc_state_senate_district_16
wake_11689,590,nc_state_senate_district_16
wake_12055,479,nc_state_senate_district_16
wake_13881,478,nc_state_senate_district_16
wake_14977,499,nc_state_senate_district_16
wake_17533,658,nc_state_senate_district_16
wake_17899,756,nc_state_senate_district_16
wake_43922,494,nc_state_senate_district_16
wake_43923,572,nc_state_senate_district_16
wake_43924,446,nc_state_senate_district_16
wake_43925,337,nc_state_senate_district_16
wake_43926,544,nc_state_senate_district_16
wake_43929,472,nc_state_senate_district_16
wake_43932,295,nc_state_senate_district_16
wake_43934,574,nc_state_senate_district_16
wake_43935,379,nc_state_senate_district_16
wake_43937,474,nc_state_senate_district_16
wake_43938,391,nc_state_senate_district_16
wake_43939,513,nc_state_senate_district_16
wake_43940,337,nc_state_senate_district_16
wake_43941,520,nc_state_senate_district_16
wake_43942,418,nc_state_senate_district_16
wake_43952,701,nc_state_senate_district_16
wake_43954,470,nc_state_senate_district_16
wake_43956,1412,nc_state_senate_district_16
wake_43958,1249,nc_state_senate_district_16
wake_43959,431,nc_state_senate_district_16
wake_44013,498,nc_state_senate_district_16
wake_44014,359,nc_state_senate_district_16
wake_44022,1047,nc_state_senate_district_16
wake_44024,561,nc_state_senate_district_16
wake_44049,561,nc_state_senate_district_16
wake_44136,928,nc_state_senate_district_16
wake_44137,789,nc_state_senate_district_16
wake_18-01,1001,nc_state_senate_district_16
wake_18-06,716,nc_state_senate_district_16
