prec_id,Elisabeth Motsinger,Virginia Foxx,election
iredell_ST4,968,1155,us_house_of_representatives_district_5
iredell_ST5,1173,952,us_house_of_representatives_district_5
iredell_ST6,1540,833,us_house_of_representatives_district_5
iredell_TB,589,957,us_house_of_representatives_district_5
iredell_UG,225,768,us_house_of_representatives_district_5
rowan_07,548,725,us_house_of_representatives_district_5
rowan_11,674,1238,us_house_of_representatives_district_5
rowan_12,601,576,us_house_of_representatives_district_5
rowan_21,635,1118,us_house_of_representatives_district_5
rowan_24,210,636,us_house_of_representatives_district_5
rowan_27,280,574,us_house_of_representatives_district_5
rowan_29,238,591,us_house_of_representatives_district_5
rowan_32,379,696,us_house_of_representatives_district_5
rowan_39,642,633,us_house_of_representatives_district_5
rowan_40,992,785,us_house_of_representatives_district_5
rowan_41,959,800,us_house_of_representatives_district_5
rowan_45,477,422,us_house_of_representatives_district_5
watauga_01,85,98,us_house_of_representatives_district_5
watauga_02,133,291,us_house_of_representatives_district_5
watauga_03,389,437,us_house_of_representatives_district_5
watauga_04,317,530,us_house_of_representatives_district_5
watauga_05,165,86,us_house_of_representatives_district_5
watauga_06,249,221,us_house_of_representatives_district_5
watauga_07,306,427,us_house_of_representatives_district_5
watauga_08,266,521,us_house_of_representatives_district_5
watauga_09,85,119,us_house_of_representatives_district_5
watauga_10,141,227,us_house_of_representatives_district_5
watauga_11,291,458,us_house_of_representatives_district_5
watauga_12,144,100,us_house_of_representatives_district_5
watauga_13,225,189,us_house_of_representatives_district_5
watauga_14,290,333,us_house_of_representatives_district_5
watauga_15,340,410,us_house_of_representatives_district_5
watauga_16,20,45,us_house_of_representatives_district_5
watauga_17,85,176,us_house_of_representatives_district_5
watauga_18,199,509,us_house_of_representatives_district_5
watauga_19,289,390,us_house_of_representatives_district_5
watauga_20,55,105,us_house_of_representatives_district_5
wilkes_101,101,167,us_house_of_representatives_district_5
wilkes_102,198,325,us_house_of_representatives_district_5
wilkes_103,59,172,us_house_of_representatives_district_5
wilkes_104,153,346,us_house_of_representatives_district_5
wilkes_105,123,325,us_house_of_representatives_district_5
wilkes_106,123,304,us_house_of_representatives_district_5
wilkes_107,276,844,us_house_of_representatives_district_5
wilkes_108,178,252,us_house_of_representatives_district_5
wilkes_109,127,222,us_house_of_representatives_district_5
wilkes_110,45,95,us_house_of_representatives_district_5
wilkes_111,151,376,us_house_of_representatives_district_5
wilkes_112,203,501,us_house_of_representatives_district_5
wilkes_113,199,357,us_house_of_representatives_district_5
wilkes_114,58,222,us_house_of_representatives_district_5
wilkes_115A,275,742,us_house_of_representatives_district_5
wilkes_117,142,295,us_house_of_representatives_district_5
wilkes_118,258,271,us_house_of_representatives_district_5
wilkes_119,275,671,us_house_of_representatives_district_5
wilkes_120,182,434,us_house_of_representatives_district_5
wilkes_121,185,418,us_house_of_representatives_district_5
wilkes_122,56,313,us_house_of_representatives_district_5
wilkes_123,98,300,us_house_of_representatives_district_5
wilkes_124,139,439,us_house_of_representatives_district_5
wilkes_125,87,204,us_house_of_representatives_district_5
wilkes_126,86,232,us_house_of_representatives_district_5
wilkes_127,230,316,us_house_of_representatives_district_5
wilkes_128,275,634,us_house_of_representatives_district_5
wilkes_129,180,400,us_house_of_representatives_district_5
yadkin_BNVL,392,899,us_house_of_representatives_district_5
yadkin_DCRK,181,556,us_house_of_representatives_district_5
yadkin_EBND,336,753,us_house_of_representatives_district_5
yadkin_FBSH,317,1022,us_house_of_representatives_district_5
yadkin_NBCK,171,519,us_house_of_representatives_district_5
yadkin_NFAL,121,438,us_house_of_representatives_district_5
yadkin_NKNB,441,871,us_house_of_representatives_district_5
yadkin_NLIB,338,751,us_house_of_representatives_district_5
yadkin_SBCK,149,292,us_house_of_representatives_district_5
yadkin_SFAL,157,576,us_house_of_representatives_district_5
yadkin_SKNB,111,501,us_house_of_representatives_district_5
yadkin_SLIB,253,690,us_house_of_representatives_district_5
