prec_id,Ken Waddell,Gaston (G.L.) Pridgen,election
bladen_P201,115,156,nc_house_of_representatives_district_46
bladen_P202,219,236,nc_house_of_representatives_district_46
bladen_CURBSIDE,0,0,nc_house_of_representatives_district_46
columbus_P01A,341,248,nc_house_of_representatives_district_46
columbus_P02A,238,66,nc_house_of_representatives_district_46
columbus_P03,119,166,nc_house_of_representatives_district_46
columbus_P04,101,71,nc_house_of_representatives_district_46
columbus_P05,104,84,nc_house_of_representatives_district_46
columbus_P06,171,155,nc_house_of_representatives_district_46
columbus_P07,544,213,nc_house_of_representatives_district_46
columbus_P08,84,104,nc_house_of_representatives_district_46
columbus_P09,295,101,nc_house_of_representatives_district_46
columbus_P10,116,188,nc_house_of_representatives_district_46
columbus_P11,123,220,nc_house_of_representatives_district_46
columbus_P12,53,87,nc_house_of_representatives_district_46
columbus_P13,118,160,nc_house_of_representatives_district_46
columbus_P14,395,339,nc_house_of_representatives_district_46
columbus_P15,348,336,nc_house_of_representatives_district_46
columbus_P16A,321,271,nc_house_of_representatives_district_46
columbus_P17,277,87,nc_house_of_representatives_district_46
columbus_P18,133,76,nc_house_of_representatives_district_46
columbus_P19,257,240,nc_house_of_representatives_district_46
columbus_P20,122,81,nc_house_of_representatives_district_46
columbus_P21,112,206,nc_house_of_representatives_district_46
columbus_P22,280,313,nc_house_of_representatives_district_46
columbus_P23,235,217,nc_house_of_representatives_district_46
columbus_P24,291,452,nc_house_of_representatives_district_46
columbus_P25A,218,300,nc_house_of_representatives_district_46
columbus_P26A,541,369,nc_house_of_representatives_district_46
robeson_03,213,423,nc_house_of_representatives_district_46
robeson_08,131,479,nc_house_of_representatives_district_46
robeson_09,19,40,nc_house_of_representatives_district_46
robeson_11,290,938,nc_house_of_representatives_district_46
robeson_12,1,1,nc_house_of_representatives_district_46
robeson_18A,39,130,nc_house_of_representatives_district_46
robeson_20,19,40,nc_house_of_representatives_district_46
robeson_30,33,35,nc_house_of_representatives_district_46
robeson_37,73,198,nc_house_of_representatives_district_46
robeson_41,397,718,nc_house_of_representatives_district_46
robeson_CURBSIDE,0,0,nc_house_of_representatives_district_46
robeson_ACCUMULATED,0,0,nc_house_of_representatives_district_46
