prec_id,Rebecca H. Judge,Jimmy Dixon,Kevin E. Hayes,election
duplin_ALBE,90,444,7,nc_house_of_representatives_district_4
duplin_BEUL,222,624,33,nc_house_of_representatives_district_4
duplin_CALY,133,286,28,nc_house_of_representatives_district_4
duplin_CFRK,45,284,11,nc_house_of_representatives_district_4
duplin_CHAR,20,67,11,nc_house_of_representatives_district_4
duplin_CHIN,110,260,13,nc_house_of_representatives_district_4
duplin_CYCK,149,480,16,nc_house_of_representatives_district_4
duplin_FAIS,194,243,23,nc_house_of_representatives_district_4
duplin_GLIS,61,240,14,nc_house_of_representatives_district_4
duplin_HALL,181,224,19,nc_house_of_representatives_district_4
duplin_KENA,148,208,13,nc_house_of_representatives_district_4
duplin_LOCK,52,157,6,nc_house_of_representatives_district_4
duplin_SMCA,99,290,15,nc_house_of_representatives_district_4
duplin_WALL,406,582,30,nc_house_of_representatives_district_4
duplin_WOLF,160,432,34,nc_house_of_representatives_district_4
wayne_3,0,0,0,nc_house_of_representatives_district_4
wayne_4,0,0,0,nc_house_of_representatives_district_4
wayne_5,121,293,21,nc_house_of_representatives_district_4
wayne_6,84,167,17,nc_house_of_representatives_district_4
wayne_7,178,443,22,nc_house_of_representatives_district_4
wayne_8,24,24,2,nc_house_of_representatives_district_4
wayne_9,120,336,18,nc_house_of_representatives_district_4
wayne_11,21,19,2,nc_house_of_representatives_district_4
wayne_12,97,105,7,nc_house_of_representatives_district_4
wayne_14,151,464,18,nc_house_of_representatives_district_4
wayne_15,153,475,61,nc_house_of_representatives_district_4
wayne_16,98,187,16,nc_house_of_representatives_district_4
wayne_17,2,3,1,nc_house_of_representatives_district_4
wayne_19,0,0,0,nc_house_of_representatives_district_4
wayne_23,150,198,12,nc_house_of_representatives_district_4
wayne_24,70,337,8,nc_house_of_representatives_district_4
wayne_25,53,205,14,nc_house_of_representatives_district_4
wayne_26,55,77,8,nc_house_of_representatives_district_4
wayne_27,0,0,0,nc_house_of_representatives_district_4
wayne_28,77,192,23,nc_house_of_representatives_district_4
