prec_id,W. A. (Winkie) Wilkins,Timothy Karan,election
granville_ANTI,195,177,nc_house_of_representatives_district_2
granville_BERE,648,478,nc_house_of_representatives_district_2
granville_BTNR,1196,759,nc_house_of_representatives_district_2
granville_CORI,456,493,nc_house_of_representatives_district_2
granville_CRDL,345,271,nc_house_of_representatives_district_2
granville_CRDM,1603,1427,nc_house_of_representatives_district_2
granville_EAOX,273,271,nc_house_of_representatives_district_2
granville_MTEN,1134,1532,nc_house_of_representatives_district_2
granville_SALM,226,280,nc_house_of_representatives_district_2
granville_TYHO,1133,1428,nc_house_of_representatives_district_2
granville_WILT,1116,2006,nc_house_of_representatives_district_2
granville_WOEL,0,2,nc_house_of_representatives_district_2
person_ALVI,993,425,nc_house_of_representatives_district_2
person_BFRK,538,345,nc_house_of_representatives_district_2
person_CUCL,787,484,nc_house_of_representatives_district_2
person_FLRI,1781,1602,nc_house_of_representatives_district_2
person_HLWY,412,301,nc_house_of_representatives_district_2
person_HUML,337,164,nc_house_of_representatives_district_2
person_MTTZ,872,792,nc_house_of_representatives_district_2
person_OLHI,726,466,nc_house_of_representatives_district_2
person_ROX1,1183,239,nc_house_of_representatives_district_2
person_ROX2,970,359,nc_house_of_representatives_district_2
person_ROX3,1117,270,nc_house_of_representatives_district_2
person_ROX4,845,267,nc_house_of_representatives_district_2
person_RX1A,997,528,nc_house_of_representatives_district_2
person_WDSD,515,221,nc_house_of_representatives_district_2
