prec_id,Paul Luebke,election
durham_03,368,nc_house_of_representatives_district_30
durham_04,401,nc_house_of_representatives_district_30
durham_05,392,nc_house_of_representatives_district_30
durham_06,253,nc_house_of_representatives_district_30
durham_24,250,nc_house_of_representatives_district_30
durham_27,404,nc_house_of_representatives_district_30
durham_30-1,269,nc_house_of_representatives_district_30
durham_31,422,nc_house_of_representatives_district_30
durham_33,679,nc_house_of_representatives_district_30
durham_35.3,721,nc_house_of_representatives_district_30
durham_37,653,nc_house_of_representatives_district_30
durham_38,396,nc_house_of_representatives_district_30
durham_39,451,nc_house_of_representatives_district_30
durham_43,963,nc_house_of_representatives_district_30
durham_48,307,nc_house_of_representatives_district_30
durham_50,691,nc_house_of_representatives_district_30
durham_51,243,nc_house_of_representatives_district_30
durham_53-1,339,nc_house_of_representatives_district_30
durham_53-2,553,nc_house_of_representatives_district_30
