prec_id,Susi Hamilton,Louis Harmati,election
brunswick_01,559,470,nc_house_of_representatives_district_18
brunswick_02,1405,1109,nc_house_of_representatives_district_18
brunswick_03,630,280,nc_house_of_representatives_district_18
brunswick_04A,811,805,nc_house_of_representatives_district_18
brunswick_04B,962,1079,nc_house_of_representatives_district_18
brunswick_04C,671,762,nc_house_of_representatives_district_18
brunswick_05,896,1150,nc_house_of_representatives_district_18
brunswick_06,436,529,nc_house_of_representatives_district_18
brunswick_CURBSIDE,72,36,nc_house_of_representatives_district_18
new hanover_CF01,1410,1006,nc_house_of_representatives_district_18
new hanover_CF06,131,40,nc_house_of_representatives_district_18
new hanover_W03,1369,149,nc_house_of_representatives_district_18
new hanover_W08,999,332,nc_house_of_representatives_district_18
new hanover_W12,846,433,nc_house_of_representatives_district_18
new hanover_W13,836,256,nc_house_of_representatives_district_18
new hanover_W15,2317,581,nc_house_of_representatives_district_18
new hanover_W24,712,465,nc_house_of_representatives_district_18
new hanover_W25,2063,346,nc_house_of_representatives_district_18
new hanover_W27,1739,383,nc_house_of_representatives_district_18
new hanover_W28,1182,720,nc_house_of_representatives_district_18
new hanover_W29,2389,103,nc_house_of_representatives_district_18
