prec_id,Brent Jackson,election
duplin_ALBE,456,nc_state_senate_district_10
duplin_BEUL,683,nc_state_senate_district_10
duplin_CALY,337,nc_state_senate_district_10
duplin_CFRK,295,nc_state_senate_district_10
duplin_CHAR,171,nc_state_senate_district_10
duplin_CHIN,286,nc_state_senate_district_10
duplin_CYCK,509,nc_state_senate_district_10
duplin_FAIS,346,nc_state_senate_district_10
duplin_GLIS,255,nc_state_senate_district_10
duplin_HALL,269,nc_state_senate_district_10
duplin_KENA,312,nc_state_senate_district_10
duplin_LOCK,159,nc_state_senate_district_10
duplin_MAGN,195,nc_state_senate_district_10
duplin_ROCK,225,nc_state_senate_district_10
duplin_ROSE,367,nc_state_senate_district_10
duplin_SMCA,329,nc_state_senate_district_10
duplin_WALL,786,nc_state_senate_district_10
duplin_WARS,342,nc_state_senate_district_10
duplin_WOLF,506,nc_state_senate_district_10
johnston_PR04,400,nc_state_senate_district_10
johnston_PR07,959,nc_state_senate_district_10
johnston_PR08,725,nc_state_senate_district_10
johnston_PR09,105,nc_state_senate_district_10
johnston_PR11A,281,nc_state_senate_district_10
johnston_PR11B,12,nc_state_senate_district_10
johnston_PR12A,467,nc_state_senate_district_10
johnston_PR12B,557,nc_state_senate_district_10
johnston_PR13,654,nc_state_senate_district_10
johnston_PR14,407,nc_state_senate_district_10
johnston_PR19,196,nc_state_senate_district_10
johnston_PR22,853,nc_state_senate_district_10
johnston_PR23A,472,nc_state_senate_district_10
johnston_PR26,115,nc_state_senate_district_10
johnston_PR27B,189,nc_state_senate_district_10
johnston_PR28,283,nc_state_senate_district_10
johnston_PR30,71,nc_state_senate_district_10
johnston_PR31A,390,nc_state_senate_district_10
johnston_PR31B,605,nc_state_senate_district_10
johnston_PR33,31,nc_state_senate_district_10
johnston_PR34,369,nc_state_senate_district_10
johnston_PR35,559,nc_state_senate_district_10
johnston_PR36,634,nc_state_senate_district_10
johnston_PR37,1088,nc_state_senate_district_10
johnston_PR38,913,nc_state_senate_district_10
sampson_AUTR,451,nc_state_senate_district_10
sampson_CLEM,472,nc_state_senate_district_10
sampson_CLCE,47,nc_state_senate_district_10
sampson_CLEA,236,nc_state_senate_district_10
sampson_CLNE,340,nc_state_senate_district_10
sampson_CLSW,209,nc_state_senate_district_10
sampson_CLWE,297,nc_state_senate_district_10
sampson_GARL,158,nc_state_senate_district_10
sampson_GIDD,221,nc_state_senate_district_10
sampson_HARR,261,nc_state_senate_district_10
sampson_HERR,333,nc_state_senate_district_10
sampson_INGO,182,nc_state_senate_district_10
sampson_KEEN,340,nc_state_senate_district_10
sampson_KFRK,320,nc_state_senate_district_10
sampson_LAKE,197,nc_state_senate_district_10
sampson_MING,841,nc_state_senate_district_10
sampson_NGRV,341,nc_state_senate_district_10
sampson_PLVW,956,nc_state_senate_district_10
sampson_ROSE,279,nc_state_senate_district_10
sampson_ROWA,304,nc_state_senate_district_10
sampson_SBRG,324,nc_state_senate_district_10
sampson_TURK,218,nc_state_senate_district_10
sampson_WBRK,420,nc_state_senate_district_10
sampson_CURBSIDE,0,nc_state_senate_district_10
