prec_id,Becky Carney,election
mecklenburg_1,351,nc_house_of_representatives_district_102
mecklenburg_2,1031,nc_house_of_representatives_district_102
mecklenburg_9,253,nc_house_of_representatives_district_102
mecklenburg_13,1648,nc_house_of_representatives_district_102
mecklenburg_14,1039,nc_house_of_representatives_district_102
mecklenburg_17,1013,nc_house_of_representatives_district_102
mecklenburg_22,2280,nc_house_of_representatives_district_102
mecklenburg_23,1000,nc_house_of_representatives_district_102
mecklenburg_31,1638,nc_house_of_representatives_district_102
mecklenburg_35,77,nc_house_of_representatives_district_102
mecklenburg_39,1407,nc_house_of_representatives_district_102
mecklenburg_52,1803,nc_house_of_representatives_district_102
mecklenburg_53,389,nc_house_of_representatives_district_102
mecklenburg_77,1600,nc_house_of_representatives_district_102
mecklenburg_078.1,953,nc_house_of_representatives_district_102
mecklenburg_97,861,nc_house_of_representatives_district_102
mecklenburg_98,1622,nc_house_of_representatives_district_102
mecklenburg_120,1443,nc_house_of_representatives_district_102
mecklenburg_122,56,nc_house_of_representatives_district_102
mecklenburg_138,1358,nc_house_of_representatives_district_102
mecklenburg_147,2037,nc_house_of_representatives_district_102
mecklenburg_228,569,nc_house_of_representatives_district_102
mecklenburg_230,848,nc_house_of_representatives_district_102
mecklenburg_CURBSIDE,775,nc_house_of_representatives_district_102
