prec_id,Jennifer Roberts,Robert Pittenger,Curtis Campbell,election
mecklenburg_214,1592,589,52,us_house_of_representatives_district_9
mecklenburg_215,1017,1176,63,us_house_of_representatives_district_9
mecklenburg_216,1473,1340,72,us_house_of_representatives_district_9
mecklenburg_217,877,738,36,us_house_of_representatives_district_9
mecklenburg_218,732,1072,58,us_house_of_representatives_district_9
mecklenburg_219,593,835,38,us_house_of_representatives_district_9
mecklenburg_220,731,1124,40,us_house_of_representatives_district_9
mecklenburg_221,948,1742,60,us_house_of_representatives_district_9
mecklenburg_223.1,2656,1503,83,us_house_of_representatives_district_9
mecklenburg_224,994,595,28,us_house_of_representatives_district_9
mecklenburg_225,563,423,32,us_house_of_representatives_district_9
mecklenburg_226,1112,1177,68,us_house_of_representatives_district_9
mecklenburg_227,1740,1776,87,us_house_of_representatives_district_9
mecklenburg_228,1671,602,57,us_house_of_representatives_district_9
mecklenburg_229,2244,1775,85,us_house_of_representatives_district_9
mecklenburg_230,2645,1061,90,us_house_of_representatives_district_9
mecklenburg_231,1493,988,68,us_house_of_representatives_district_9
mecklenburg_232,1524,1727,84,us_house_of_representatives_district_9
mecklenburg_233,1045,1454,60,us_house_of_representatives_district_9
mecklenburg_234,1210,877,53,us_house_of_representatives_district_9
mecklenburg_235,1212,855,52,us_house_of_representatives_district_9
mecklenburg_236,877,1557,53,us_house_of_representatives_district_9
mecklenburg_238.1,1253,718,54,us_house_of_representatives_district_9
mecklenburg_239,1449,545,28,us_house_of_representatives_district_9
mecklenburg_240,1227,2047,93,us_house_of_representatives_district_9
mecklenburg_241,1424,1568,77,us_house_of_representatives_district_9
mecklenburg_242,486,1444,35,us_house_of_representatives_district_9
mecklenburg_243,3209,1795,117,us_house_of_representatives_district_9
mecklenburg_CURBSIDE,1021,455,9,us_house_of_representatives_district_9
union_005,478,563,37,us_house_of_representatives_district_9
union_007,139,276,18,us_house_of_representatives_district_9
union_014,341,560,29,us_house_of_representatives_district_9
union_015,1075,1679,74,us_house_of_representatives_district_9
union_017A,714,1343,66,us_house_of_representatives_district_9
union_017B,736,1767,70,us_house_of_representatives_district_9
union_018,523,1344,49,us_house_of_representatives_district_9
union_019,1025,1791,83,us_house_of_representatives_district_9
union_020A,924,1177,74,us_house_of_representatives_district_9
union_020B,597,1281,66,us_house_of_representatives_district_9
union_021,396,960,36,us_house_of_representatives_district_9
union_022,339,1362,35,us_house_of_representatives_district_9
union_028A,998,1874,61,us_house_of_representatives_district_9
union_028B,673,1738,58,us_house_of_representatives_district_9
union_028C,708,1611,51,us_house_of_representatives_district_9
union_028D,797,1476,50,us_house_of_representatives_district_9
union_029A,1373,1312,71,us_house_of_representatives_district_9
union_029B,454,727,33,us_house_of_representatives_district_9
union_029C,469,918,30,us_house_of_representatives_district_9
union_031,746,923,58,us_house_of_representatives_district_9
union_033,572,1057,66,us_house_of_representatives_district_9
union_035,387,851,41,us_house_of_representatives_district_9
union_037A,1059,1403,81,us_house_of_representatives_district_9
union_037B,284,784,20,us_house_of_representatives_district_9
union_040,768,1748,67,us_house_of_representatives_district_9
union_041,669,1532,58,us_house_of_representatives_district_9
union_042,106,218,12,us_house_of_representatives_district_9
union_CURBSIDE,0,0,0,us_house_of_representatives_district_9
