prec_id,Charles Malone,George Holding,election
wake_17-08,905,764,us_house_of_representatives_district_13
wake_18-02,463,924,us_house_of_representatives_district_13
wake_18-03,267,448,us_house_of_representatives_district_13
wake_18-04,479,726,us_house_of_representatives_district_13
wake_18-05,561,907,us_house_of_representatives_district_13
wake_18-07,340,673,us_house_of_representatives_district_13
wake_18-08,510,664,us_house_of_representatives_district_13
wake_19-03,372,729,us_house_of_representatives_district_13
wake_19-04,711,1096,us_house_of_representatives_district_13
wake_19-05,285,864,us_house_of_representatives_district_13
wake_19-07,390,430,us_house_of_representatives_district_13
wake_19-09,460,893,us_house_of_representatives_district_13
wake_19-10,702,1395,us_house_of_representatives_district_13
wake_19-11,333,569,us_house_of_representatives_district_13
wake_19-12,513,898,us_house_of_representatives_district_13
wake_19-13,340,427,us_house_of_representatives_district_13
wake_19-14,283,591,us_house_of_representatives_district_13
wake_19-15,277,483,us_house_of_representatives_district_13
wake_19-16,355,476,us_house_of_representatives_district_13
wake_19-17,648,591,us_house_of_representatives_district_13
wake_20-03,327,467,us_house_of_representatives_district_13
wake_20-04,452,577,us_house_of_representatives_district_13
wake_20-05,409,637,us_house_of_representatives_district_13
wake_20-08,475,676,us_house_of_representatives_district_13
wake_20-09,335,459,us_house_of_representatives_district_13
wayne_1,122,319,us_house_of_representatives_district_13
wayne_2,209,454,us_house_of_representatives_district_13
wayne_3,137,446,us_house_of_representatives_district_13
wayne_4,168,535,us_house_of_representatives_district_13
wayne_5,118,314,us_house_of_representatives_district_13
wayne_6,146,208,us_house_of_representatives_district_13
wayne_7,0,0,us_house_of_representatives_district_13
wayne_8,123,396,us_house_of_representatives_district_13
wayne_9,130,350,us_house_of_representatives_district_13
wayne_10,0,0,us_house_of_representatives_district_13
wayne_11,0,0,us_house_of_representatives_district_13
wayne_13,0,2,us_house_of_representatives_district_13
wayne_14,147,484,us_house_of_representatives_district_13
wayne_15,175,503,us_house_of_representatives_district_13
wayne_16,201,274,us_house_of_representatives_district_13
wayne_19,0,0,us_house_of_representatives_district_13
wayne_23,186,218,us_house_of_representatives_district_13
wayne_24,141,711,us_house_of_representatives_district_13
wayne_25,143,346,us_house_of_representatives_district_13
wayne_26,0,0,us_house_of_representatives_district_13
wayne_28,216,368,us_house_of_representatives_district_13
wayne_30,44,4,us_house_of_representatives_district_13
wilson_PRBL,502,1195,us_house_of_representatives_district_13
wilson_PRCR,520,928,us_house_of_representatives_district_13
wilson_PRGA,209,295,us_house_of_representatives_district_13
wilson_PROL,707,1679,us_house_of_representatives_district_13
wilson_PRSA,2,1,us_house_of_representatives_district_13
wilson_PRSP,488,768,us_house_of_representatives_district_13
wilson_PRST,518,364,us_house_of_representatives_district_13
wilson_PRTA,1762,2269,us_house_of_representatives_district_13
wilson_PRTO,1281,1195,us_house_of_representatives_district_13
wilson_PRWD,398,786,us_house_of_representatives_district_13
wilson_PRWJ,1156,976,us_house_of_representatives_district_13
wilson_PRWK,418,737,us_house_of_representatives_district_13
wilson_PRWL,779,957,us_house_of_representatives_district_13
wilson_PRWM,954,1282,us_house_of_representatives_district_13
wilson_PRWP,416,768,us_house_of_representatives_district_13
wilson_CURBSIDE,171,97,us_house_of_representatives_district_13
