prec_id,Jim Messina,Tom Murry,election
wake_36586,317,523,nc_house_of_representatives_district_41
wake_43929,0,0,nc_house_of_representatives_district_41
wake_43930,327,444,nc_house_of_representatives_district_41
wake_43934,455,539,nc_house_of_representatives_district_41
wake_43939,91,103,nc_house_of_representatives_district_41
wake_43940,55,60,nc_house_of_representatives_district_41
wake_43952,556,566,nc_house_of_representatives_district_41
wake_43954,322,516,nc_house_of_representatives_district_41
wake_43957,569,758,nc_house_of_representatives_district_41
wake_43958,335,337,nc_house_of_representatives_district_41
wake_20-04,500,559,nc_house_of_representatives_district_41
wake_20-06A,136,244,nc_house_of_representatives_district_41
wake_20-06B,459,694,nc_house_of_representatives_district_41
wake_20-08,131,154,nc_house_of_representatives_district_41
wake_20-10,447,591,nc_house_of_representatives_district_41
wake_20-11,515,706,nc_house_of_representatives_district_41
wake_20-12,254,435,nc_house_of_representatives_district_41
wake_20-13,964,1036,nc_house_of_representatives_district_41
wake_20-14,574,721,nc_house_of_representatives_district_41
