prec_id,William Brisson,election
bladen_P10,202,nc_house_of_representatives_district_22
bladen_P15,413,nc_house_of_representatives_district_22
bladen_P201,12,nc_house_of_representatives_district_22
bladen_P202,0,nc_house_of_representatives_district_22
bladen_P25,295,nc_house_of_representatives_district_22
bladen_P30,165,nc_house_of_representatives_district_22
bladen_P35,122,nc_house_of_representatives_district_22
bladen_P40,282,nc_house_of_representatives_district_22
bladen_P45,145,nc_house_of_representatives_district_22
bladen_P501,384,nc_house_of_representatives_district_22
bladen_P502,227,nc_house_of_representatives_district_22
bladen_P55,194,nc_house_of_representatives_district_22
bladen_P60,357,nc_house_of_representatives_district_22
bladen_P65,106,nc_house_of_representatives_district_22
bladen_P70,116,nc_house_of_representatives_district_22
bladen_P75,266,nc_house_of_representatives_district_22
bladen_P80,225,nc_house_of_representatives_district_22
bladen_CURBSIDE,0,nc_house_of_representatives_district_22
johnston_PR38,306,nc_house_of_representatives_district_22
sampson_AUTR,217,nc_house_of_representatives_district_22
sampson_CLEM,258,nc_house_of_representatives_district_22
sampson_CLCE,1,nc_house_of_representatives_district_22
sampson_CLEA,50,nc_house_of_representatives_district_22
sampson_CLNE,214,nc_house_of_representatives_district_22
sampson_CLSW,194,nc_house_of_representatives_district_22
sampson_CLWE,182,nc_house_of_representatives_district_22
sampson_GARL,219,nc_house_of_representatives_district_22
sampson_GIDD,175,nc_house_of_representatives_district_22
sampson_HERR,93,nc_house_of_representatives_district_22
sampson_INGO,147,nc_house_of_representatives_district_22
sampson_KEEN,203,nc_house_of_representatives_district_22
sampson_KFRK,252,nc_house_of_representatives_district_22
sampson_LAKE,465,nc_house_of_representatives_district_22
sampson_MING,359,nc_house_of_representatives_district_22
sampson_NGRV,253,nc_house_of_representatives_district_22
sampson_PLVW,344,nc_house_of_representatives_district_22
sampson_ROSE,183,nc_house_of_representatives_district_22
sampson_ROWA,243,nc_house_of_representatives_district_22
sampson_SBRG,200,nc_house_of_representatives_district_22
sampson_TURK,19,nc_house_of_representatives_district_22
sampson_WBRK,226,nc_house_of_representatives_district_22
sampson_CURBSIDE,0,nc_house_of_representatives_district_22
