prec_id,Chuck McGrady,election
henderson_BC,344,nc_house_of_representatives_district_117
henderson_BK,369,nc_house_of_representatives_district_117
henderson_CC,1286,nc_house_of_representatives_district_117
henderson_CV,307,nc_house_of_representatives_district_117
henderson_ED,1007,nc_house_of_representatives_district_117
henderson_FL,1655,nc_house_of_representatives_district_117
henderson_GM,576,nc_house_of_representatives_district_117
henderson_HC,1429,nc_house_of_representatives_district_117
henderson_HV-1,962,nc_house_of_representatives_district_117
henderson_HV-2,729,nc_house_of_representatives_district_117
henderson_HV-3,874,nc_house_of_representatives_district_117
henderson_LJ,1000,nc_house_of_representatives_district_117
henderson_LP,835,nc_house_of_representatives_district_117
henderson_MG,431,nc_house_of_representatives_district_117
henderson_NB,1523,nc_house_of_representatives_district_117
henderson_NE,718,nc_house_of_representatives_district_117
henderson_NM,1282,nc_house_of_representatives_district_117
henderson_NW,777,nc_house_of_representatives_district_117
henderson_PR,1048,nc_house_of_representatives_district_117
henderson_PV,956,nc_house_of_representatives_district_117
henderson_RG,1066,nc_house_of_representatives_district_117
henderson_SB,1268,nc_house_of_representatives_district_117
henderson_SE,504,nc_house_of_representatives_district_117
henderson_SM,1669,nc_house_of_representatives_district_117
henderson_SW,1101,nc_house_of_representatives_district_117
henderson_CURBSIDE,593,nc_house_of_representatives_district_117
