prec_id,Lundia Washington,Frank Iler,election
brunswick_04A,895,1424,nc_house_of_representatives_district_17
brunswick_07,571,1067,nc_house_of_representatives_district_17
brunswick_08,846,1639,nc_house_of_representatives_district_17
brunswick_09,210,561,nc_house_of_representatives_district_17
brunswick_10A,557,1272,nc_house_of_representatives_district_17
brunswick_10B,727,1937,nc_house_of_representatives_district_17
brunswick_11,875,611,nc_house_of_representatives_district_17
brunswick_12,590,1059,nc_house_of_representatives_district_17
brunswick_13,711,999,nc_house_of_representatives_district_17
brunswick_14,771,1863,nc_house_of_representatives_district_17
brunswick_15,939,2058,nc_house_of_representatives_district_17
brunswick_16,915,1959,nc_house_of_representatives_district_17
brunswick_17,1396,1826,nc_house_of_representatives_district_17
brunswick_18,379,655,nc_house_of_representatives_district_17
brunswick_19,886,1576,nc_house_of_representatives_district_17
brunswick_20,609,1374,nc_house_of_representatives_district_17
brunswick_21,668,1928,nc_house_of_representatives_district_17
brunswick_22,440,1043,nc_house_of_representatives_district_17
brunswick_23,451,1060,nc_house_of_representatives_district_17
brunswick_CURBSIDE,150,184,nc_house_of_representatives_district_17
